,Treacherous_Taylor Swift
0,put
1,lips
2,close
3,mine
4,long
5,touch
6,focus
7,eye
8,eye
9,'til
10,gravity's
11,much
12,i'll
13,anything
14,say
15,say
16,hands
17,i'd
18,smart
19,walk
20,away
21,quicksand
22,slope
23,treacherous
24,path
25,reckless
26,slope
27,treacherous
28,iii
29,like
30,can't
31,decide
32,choice
33,getting
34,swept
35,away
36,hear
37,sound
38,voice
39,asking
40,stay
41,skin
42,bone
43,trained
44,get
45,along
46,forever
47,going
48,flow
49,friction
50,slope
51,treacherous
52,path
53,reckless
54,slope
55,treacherous
56,like
57,two
58,headlights
59,shine
60,sleepless
61,night
62,get
63,get
64,alone
65,name
66,echoed
67,mind
68,think
69,think
70,know
71,nothing
72,safe
73,worth
74,drive
75,follow
76,follow
77,home
78,follow
79,follow
80,home
81,hope
82,treacherous
83,daydream
84,dangerous
85,hope
86,treacherous
87,iii
88,iii
89,iii
90,breakdown
91,two
92,headlights
93,shine
94,sleepless
95,night
96,get
97,get
98,alone
99,name
100,echoed
101,mind
102,think
103,think
104,know
105,nothing
106,safe
107,worth
108,drive
109,follow
110,follow
111,home
112,follow
113,follow
114,home
115,i'll
116,follow
117,follow
118,home
119,follow
120,follow
121,home
122,slope
123,treacherous
124,iii
125,like
