,I Won't Share You_The Smiths
0,share
1,share
2,drive
3,ambition
4,zeal
5,feel
6,time
7,note
8,wrote
9,read
10,said
11,perrier
12,gone
13,straight
14,head
15,life
16,sick
17,cruel
18,instead
19,yes
20,oh
21,share
22,share
23,drive
24,dreams
25,inside
26,time
27,life
28,tends
29,come
30,go
31,that's
32,okay
33,long
34,know
35,life
36,tends
37,come
38,go
39,long
40,know
41,know
42,know
43,know
44,know
45,know
46,know
47,know
48,know
49,know
50,oh
51,share
52,share
53,drive
54,dreams
55,inside
56,time
57,want
58,freedom
59,want
60,guile
61,want
62,freedom
63,guile
64,oh
65,life
66,tends
67,come
68,go
69,long
70,know
71,know
72,know
73,know
74,know
75,know
76,know
77,know
78,know
79,oh
80,share
81,share
82,i'll
83,see
84,somewhere
85,i'll
86,see
87,sometime
88,darling
