,Gypsy_Shakira
0,broke
1,heart
2,road
3,spent
4,weekends
5,sewing
6,pieces
7,back
8,crayons
9,dolls
10,pass
11,walking
12,gets
13,boring
14,learn
15,fly
16,homecoming
17,kind
18,take
19,top
20,knows
21,might
22,find
23,confess
24,sins
25,bet
26,trying
27,can't
28,always
29,win
30,‘cause
31,i'm
32,gypsy
33,coming
34,might
35,steal
36,clothes
37,wear
38,fit
39,never
40,made
41,agreements
42,like
43,gypsy
44,back
45,‘cause
46,life's
47,already
48,bit
49,cry
50,i'm
51,young
52,die
53,gonna
54,quit
55,‘cause
56,i'm
57,gypsy
58,refrain
59,‘cause
60,i'm
61,gypsy
62,can't
63,hide
64,i've
65,done
66,scars
67,remind
68,far
69,i've
70,come
71,may
72,concern
73,run
74,scissors
75,want
76,get
77,hurt
78,‘cause
79,i'm
80,gypsy
81,coming
82,might
83,steal
84,clothes
85,wear
86,fit
87,make
88,agreements
89,like
90,gypsy
91,back
92,‘cause
93,life's
94,already
95,bit
96,cry
97,i'm
98,young
99,die
100,gonna
101,quit
102,‘cause
103,i'm
104,gypsy
105,say
106,hey
107,fool
108,say
109,ain't
110,way
111,life
112,goes
113,people
114,fear
115,know
116,come
117,along
118,ride
119,oh
120,yeah
121,come
122,along
123,ride
124,ooh
125,‘cause
126,i'm
127,gypsy
128,coming
129,might
130,steal
131,clothes
132,wear
133,fit
134,never
135,made
136,agreements
137,like
138,gypsy
139,back
140,‘cause
141,life's
142,already
143,bit
144,cry
145,i'm
146,young
147,die
148,gonna
149,quit
150,‘cause
151,i'm
152,gypsy
