,Secret Valentine_We the Kings
0,soft
1,kiss
2,wine
3,pretty
4,friend
5,mine
6,we're
7,finally
8,intertwined
9,nervous
10,shy
11,moment
12,come
13,alive
14,tonight
15,prechorus
16,secret
17,valentine
18,we'll
19,write
20,song
21,turns
22,lights
23,boy
24,girl
25,start
26,suddenly
27,shaking
28,inside
29,waste
30,time
31,speed
32,breathing
33,close
34,eyes
35,we'll
36,hope
37,nothing
38,lay
39,still
40,worry
41,talk
42,i'll
43,loving
44,morning's
45,first
46,light
47,breaks
48,tomorrow
49,i'll
50,take
51,care
52,tonight
53,prechorus
54,secret
55,valentine
56,we'll
57,write
58,song
59,turns
60,lights
61,boy
62,girl
63,start
64,suddenly
65,shaking
66,inside
67,waste
68,time
69,speed
70,breathing
71,close
72,eyes
73,we'll
74,hope
75,nothing
76,guilt
77,fills
78,head
79,brush
80,rise
81,dead
82,moment
83,come
84,alive
85,brace
86,love
87,sweet
88,love
89,secret
90,love
91,we'll
92,write
93,song
94,turns
95,lights
96,boy
97,girl
98,start
99,suddenly
100,shaking
101,inside
102,waste
103,time
104,speed
105,breathing
106,close
107,eyes
108,we'll
109,hope
110,nothing
111,we'll
112,write
113,song
114,turns
115,lights
116,boy
117,girl
118,start
119,suddenly
120,shaking
121,inside
122,waste
123,time
124,speed
125,breathing
126,close
127,eyes
128,we'll
129,hope
130,nothing
131,nothing
