,Apartment_Young the Giant
0,leaving
1,apartment
2,feel
3,cold
4,inside
5,howls
6,away
7,market
8,calls
9,name
10,hoh
11,ohoh
12,hoh
13,ohoh
14,way
15,apartment
16,write
17,fear
18,silence
19,carved
20,boat
21,sail
22,shadow
23,walk
24,alone
25,hoh
26,ohoh
27,oh
28,alright
29,alright
30,hit
31,sidewalk
32,starts
33,hide
34,raincoat
35,things
36,falling
37,apart
38,leaving
39,apartment
40,hit
41,coast
42,nightfall
43,sure
44,keep
45,dreaming
46,understood
47,oh
48,know
49,understood
50,yes
51,sir
52,shows
53,good
54,ah
55,ah
56,ah
57,alright
58,alright
59,hit
60,sidewalk
61,starts
62,hide
63,raincoat
64,things
65,falling
66,apart
67,'cause
68,sooner
69,later
70,bound
71,stop
72,come
73,let's
74,savor
75,we're
76,falling
77,instrumental
78,leaving
79,apartment
80,hear
81,coa
