,Begin Again_Taylor Swift
0,took
1,deep
2,breath
3,mirror
4,like
5,wore
6,high
7,heels
8,turn
9,lock
10,put
11,headphones
12,always
13,said
14,get
15,song
16,walked
17,expecting
18,late
19,got
20,early
21,stand
22,wave
23,walk
24,pull
25,chair
26,help
27,know
28,nice
29,throw
30,head
31,back
32,laughing
33,like
34,little
35,kid
36,think
37,strange
38,think
39,i'm
40,funny
41,'cause
42,never
43,i've
44,spending
45,last
46,eight
47,months
48,thinking
49,love
50,ever
51,break
52,burn
53,end
54,wednesday
55,cafe
56,watched
57,begin
58,said
59,never
60,met
61,one
62,girl
63,many
64,james
65,taylor
66,records
67,tell
68,stories
69,know
70,i'm
71,coming
72,little
73,shy
74,throw
75,head
76,back
77,laughing
78,like
79,little
80,kid
81,think
82,strange
83,think
84,i'm
85,funny
86,'cause
87,never
88,i've
89,spending
90,last
91,eight
92,months
93,thinking
94,love
95,ever
96,break
97,burn
98,end
99,wednesday
100,cafe
101,watched
102,begin
103,walked
104,block
105,car
106,almost
107,brought
108,start
109,talk
110,movies
111,family
112,watches
113,every
114,single
115,christmas
116,talk
117,first
118,time
119,what's
120,past
121,past
122,'cause
123,throw
124,head
125,back
126,laughing
127,like
128,little
129,kid
130,think
131,strange
132,think
133,i'm
134,funny
135,'cause
136,never
137,i've
138,spending
139,last
140,eight
141,months
142,thinking
143,love
144,ever
145,break
146,burn
147,end
148,wednesday
149,cafe
150,watched
151,begin
152,wednesday
153,cafe
154,watched
155,begin
