,Careless Whisper_George Michael
0,time
1,never
2,mend
3,careless
4,whispers
5,good
6,friend
7,heart
8,mind
9,ignorance
10,kind
11,there's
12,comfort
13,truth
14,pain
15,find
16,known
17,better
18,yeah
19,instrumental
20,feel
21,unsure
22,take
23,hand
24,lead
25,dance
26,floor
27,music
28,dies
29,something
30,eyes
31,calls
32,mind
33,silver
34,screen
35,sad
36,goodbyes
37,i'm
38,never
39,gonna
40,dance
41,guilty
42,feet
43,got
44,rhythm
45,though
46,easy
47,pretend
48,know
49,fool
50,known
51,better
52,cheat
53,friend
54,waste
55,chance
56,i'd
57,given
58,i'm
59,never
60,gonna
61,dance
62,way
63,danced
64,time
65,never
66,mend
67,careless
68,whispers
69,good
70,friend
71,heart
72,mind
73,ignorance
74,kind
75,there's
76,comfort
77,truth
78,pain
79,find
80,i'm
81,never
82,gonna
83,dance
84,guilty
85,feet
86,got
87,rhythm
88,though
89,easy
90,pretend
91,know
92,fool
93,known
94,better
95,cheat
96,friend
97,waste
98,chance
99,i'd
100,given
101,i'm
102,never
103,gonna
104,dance
105,way
106,danced
107,postchorus
108,never
109,without
110,love
111,tonight
112,music
113,seems
114,loud
115,wish
116,could
117,lose
118,crowd
119,maybe
120,better
121,way
122,we'd
123,hurt
124,things
125,want
126,say
127,could
128,good
129,together
130,could
131,lived
132,dance
133,forever
134,who's
135,gonna
136,dance
137,please
138,stay
139,i'm
140,never
141,gonna
142,dance
143,guilty
144,feet
145,got
146,rhythm
147,though
148,easy
149,pretend
150,know
151,fool
152,known
153,better
154,cheat
155,friend
156,waste
157,chance
158,i'd
159,given
160,i'm
161,never
162,gonna
163,dance
164,way
165,danced
166,gone
167,gone
168,gone
169,wrong
170,wrong
171,leave
172,alone
