,Measuring Cups_Andrew Bird
0,get
1,measuring
2,cups
3,we'll
4,play
5,new
6,game
7,come
8,front
9,class
10,we'll
11,measure
12,brain
13,we'll
14,give
15,complex
16,we'll
17,give
18,name
19,get
20,measuring
21,cups
22,we'll
23,play
24,new
25,game
26,can't
27,cream
28,crop
29,cream
30,liquid
31,gas
32,glass
33,contain
34,talk
35,hand
36,glory
37,tale
38,that's
39,rather
40,grim
41,gory
42,another
43,children's
44,story
45,that's
46,declawed
47,tales
48,brothers
49,grimm
50,gorey
51,outlawed
52,think
53,they're
54,gonna
55,make
56,start
57,want
58,start
59,put
60,backpack
61,shoulder
62,good
63,little
64,soldier
65,take
66,places
67,cause
68,we're
69,predisposed
70,measuring
71,cups
72,play
73,new
74,game
75,front
76,class
77,measure
78,brain
79,give
80,complex
81,we'll
82,give
83,name
84,talk
85,hand
86,glory
87,tale
88,that's
89,rather
90,grim
91,gory
92,another
93,children's
94,story
95,that's
96,declawed
97,tales
98,brothers
99,grimm
100,gorey
101,outlawed
102,put
103,backpack
104,shoulder
105,good
106,little
107,soldier
108,different
109,older
110,predisposed
111,that's
112,questions
113,case
114,closed
