,Love Lockdown_Kanye West
0,produced
1,kanye
2,west
3,jeff
4,bhasker
5,i'm
6,loving
7,way
8,wanted
9,run
10,i'm
11,love
12,vibe
13,wrong
14,haunted
15,way
16,home
17,never
18,know
19,never
20,never
21,know
22,never
23,know
24,enough
25,'til
26,love
27,'til
28,lose
29,control
30,system
31,overload
32,screaming
33,nnooo
34,i'm
35,loving
36,way
37,wanted
38,see
39,wanna
40,move
41,can't
42,escape
43,keep
44,low
45,keep
46,secret
47,code
48,everybody
49,else
50,know
51,keep
52,love
53,lockdown—your
54,love
55,lockdown
56,keeping
57,love
58,lockdown—your
59,love
60,lockdown
61,keep
62,love
63,lockdown—your
64,love
65,lockdown
66,keep
67,love
68,lockdown—you
69,lose
70,i'm
71,loving
72,way
73,wanted
74,can't
75,keep
76,cool
77,keep
78,true
79,got
80,something
81,lose
82,gotta
83,move
84,can't
85,keep
86,still
87,keep
88,keep
89,mind
90,i'm
91,somewhere
92,far
93,home
94,danger
95,zone
96,many
97,times
98,tell
99,'fore
100,finally
101,got
102,lose
103,lose
104,i'm
105,loving
106,way
107,wanted
108,see
109,go
110,see
111,move
112,wasting
113,time
114,can't
115,wait
116,life
117,we're
118,racing
119,time
120,where's
121,finish
122,line
123,keep
124,love
125,lockdown—your
126,love
127,lockdown
128,keeping
129,love
130,lockdown—your
131,love
132,lockdown
133,keep
134,love
135,lockdown—your
136,love
137,lockdown
138,keep
139,love
140,lockdown—you
141,lose
142,i'm
143,loving
144,way
145,wanted
146,bet
147,one
148,knew
149,got
150,one
151,new
152,know
153,said
154,i'm
155,got
156,love
157,i'm
158,loving
159,way
160,wanted
161,gotta
162,keep
163,going
164,keep
165,loving
166,going
167,keep
168,roll
169,god
170,knows
171,baby
172,i'm
173,confused
174,choose
175,choose
176,i'm
177,loving
178,way
179,wanted
180,wanna
181,go
182,need
183,i've
184,road
185,many
186,times
187,i'm
188,loving
189,way
190,wanted
191,keep
192,love
193,lockdown—your
194,love
195,lockdown
196,keeping
197,love
198,lockdown—your
199,love
200,lockdown
201,keep
202,love
203,lockdown—your
204,love
205,lockdown
206,keep
207,love
208,lockdown—you
209,lose
210,lose
211,lose
212,lose
213,lose
