,Coney Island_Death Cab for Cutie
0,sitting
1,carousel
2,ride
3,without
4,music
5,light
6,everything
7,closed
8,coney
9,island
10,could
11,help
12,smiling
13,hear
14,atlantic
15,echo
16,back
17,roller
18,coaster
19,screams
20,summers
21,past
22,everything
23,closed
24,coney
25,island
26,could
27,help
28,smiling
29,brooklyn
30,fill
31,beach
32,eventually
33,everyone
34,go
35,except
