,Maps_Yeah Yeah Yeahs
0,pack
1,i'm
2,straight
3,enough
4,prechorus
5,i'll
6,say
7,say
8,say
9,i'll
10,say
11,say
12,say
13,i'll
14,say
15,say
16,say
17,i'll
18,say
19,say
20,say
21,i'll
22,say
23,say
24,say
25,wait
26,love
27,like
28,love
29,wait
30,love
31,like
32,love
33,maps
34,wait
35,love
36,like
37,love
38,made
39,stray
40,kind's
41,kind
42,i'll
43,stay
44,pack
45,stray
46,prechorus
47,i'll
48,say
49,say
50,say
51,i'll
52,say
53,say
54,say
55,wait
56,love
57,like
58,love
59,wait
60,love
61,like
62,love
63,maps
64,wait
65,love
66,like
67,love
68,wait
69,love
70,like
71,love
72,maps
73,wait
74,love
75,like
76,love
77,instrumental
78,wait
79,love
80,like
81,love
82,wait
83,love
84,like
85,love
86,maps
87,wait
88,love
89,like
90,love
91,wait
92,love
93,like
94,love
95,maps
96,wait
97,love
98,like
99,love
