,Save Me_Gotye
0,mornings
1,anxious
2,better
3,stay
4,bed
5,want
6,fail
7,running
8,options
9,endings
10,rolling
11,front
12,choose
13,thread
14,begin
15,could
16,love
17,cause
18,could
19,love
20,never
21,good
22,enough
23,i'd
24,tell
25,well
26,could
27,help
28,giving
29,living
30,morning
31,leaving
32,travelling
33,south
34,said
35,unprepared
36,dead
37,ends
38,disappointments
39,fading
40,memory
41,ready
42,lonely
43,life
44,end
45,gave
46,love
47,could
48,love
49,made
50,turn
51,way
52,saw
53,patient
54,love
55,help
56,help
57,save
58,save
59,yeah
60,save
