,Speak Now_Taylor Swift
0,kind
1,girl
2,rudely
3,barging
4,white
5,veil
6,occasion
7,kind
8,boy
9,marrying
10,wrong
11,girl
12,sneak
13,see
14,friends
15,snotty
16,little
17,family
18,dressed
19,pastel
20,yelling
21,bridesmaid
22,somewhere
23,back
24,inside
25,room
26,wearing
27,gown
28,shaped
29,like
30,pastry
31,prechorus
32,surely
33,thought
34,would
35,lose
36,daydream
37,stand
38,say
39,say
40,yes
41,run
42,away
43,i'll
44,meet
45,church
46,back
47,door
48,wait
49,say
50,single
51,vow
52,need
53,hear
54,said
55,speak
56,fond
57,gestures
58,exchanged
59,organ
60,starts
61,play
62,song
63,sounds
64,like
65,death
66,march
67,hiding
68,curtains
69,seems
70,uninvited
71,lovely
72,bridetobe
73,prechorus
74,floats
75,aisle
76,like
77,pageant
78,queen
79,know
80,wish
81,wish
82,say
83,yes
84,run
85,away
86,i'll
87,meet
88,church
89,back
90,door
91,wait
92,say
93,single
94,vow
95,need
96,hear
97,said
98,speak
99,say
100,yes
101,run
102,away
103,i'll
104,meet
105,church
106,back
107,door
108,wait
109,say
110,single
111,vow
112,time
113,running
114,said
115,speak
116,interlude
117,ooh
118,ladadada
119,oh
120,ooh
121,ooh
122,say
123,single
124,vow
125,hear
126,preacher
127,say
128,speak
129,forever
130,hold
131,peace
132,there's
133,silence
134,there's
135,last
136,chance
137,stand
138,shaking
139,hands
140,eyes
141,horrified
142,looks
143,everyone
144,room
145,i'm
146,looking
147,kind
148,girl
149,rudely
150,barging
151,white
152,veil
153,occasion
154,kind
155,boy
156,marrying
157,wrong
158,girl
159,hehe
160,say
161,yes
162,run
163,away
164,i'll
165,meet
166,church
167,back
168,door
169,wait
170,say
171,single
172,vow
173,need
174,hear
175,said
176,speak
177,variation
178,say
179,let's
180,run
181,away
182,i'll
183,meet
184,i'm
185,tux
186,back
187,door
188,baby
189,say
190,vows
191,glad
192,around
193,said
194,speak
