,Somebody_Depeche Mode
0,want
1,somebody
2,share
3,share
4,rest
5,life
6,share
7,innermost
8,thoughts
9,know
10,intimate
11,details
12,someone
13,who'll
14,stand
15,side
16,give
17,support
18,return
19,she'll
20,get
21,support
22,listen
23,want
24,speak
25,world
26,live
27,life
28,general
29,though
30,views
31,may
32,wrong
33,may
34,even
35,perverted
36,she'll
37,hear
38,easily
39,converted
40,way
41,thinking
42,fact
43,she'll
44,often
45,disagree
46,end
47,understand
48,want
49,somebody
50,cares
51,passionately
52,every
53,thought
54,every
55,breath
56,someone
57,who'll
58,help
59,see
60,things
61,different
62,light
63,things
64,detest
65,almost
66,like
67,want
68,tied
69,anyone's
70,strings
71,i'm
72,carefully
73,trying
74,steer
75,clear
76,things
77,i'm
78,asleep
79,want
80,somebody
81,put
82,arms
83,around
84,kiss
85,tenderly
86,though
87,things
88,like
89,make
90,sick
91,case
92,like
93,i'll
94,get
95,away
