,Skinny Love_Bon Iver
0,come
1,skinny
2,love
3,last
4,year
5,pour
6,little
7,salt
8,never
9,staring
10,sink
11,blood
12,crushed
13,veneer
14,tell
15,love
16,wreck
17,cut
18,ropes
19,let
20,fall
21,right
22,moment
23,order's
24,tall
25,told
26,patient
27,told
28,fine
29,told
30,balanced
31,told
32,kind
33,morning
34,i'll
35,different
36,kind
37,i'll
38,holding
39,tickets
40,owning
41,fines
42,come
43,skinny
44,love
45,happened
46,suckle
47,hope
48,light
49,brassieres
50,sullen
51,load
52,full
53,slow
54,split
55,told
56,patient
57,told
58,fine
59,told
60,balanced
61,told
62,kind
63,love
64,wasted
65,hell
66,i'm
67,breaking
68,britches
69,end
70,lines
71,love
72,fight
73,fall
74,far
75,behind
