,Birthday_The Sugarcubes
0,lives
1,house
2,world
3,outside
4,scrabbles
5,earth
6,fingers
7,mouth
8,five
9,years
10,old
11,threads
12,worms
13,string
14,keeps
15,spiders
16,pocket
17,collects
18,fly
19,wings
20,jar
21,scrubs
22,horse
23,flies
24,pinches
25,line
26,ohhh
27,one
28,friend
29,lives
30,next
31,door
32,they're
33,listening
34,weather
35,knows
36,many
37,freckles
38,got
39,scratches
40,beard
41,painting
42,huge
43,books
44,glues
45,together
46,saw
47,big
48,raven
49,glided
50,sky
51,touched
52,ohh
53,today
54,birthday
55,they're
56,smoking
57,cigars
58,he's
59,got
60,chain
61,flowers
62,sews
63,bird
64,knickers
65,ohhh
66,they're
67,smoking
68,cigars
69,lie
70,bathtub
71,chain
72,flowers
