,Supergirl_Reamonn
0,tell
1,way
2,walks
3,girl
4,tell
5,way
6,talks
7,rules
8,world
9,see
10,eyes
11,one
12,chain
13,girl
14,supergirl
15,she'd
16,say
17,okay
18,got
19,lost
20,way
21,i'm
22,supergirl
23,supergirls
24,cry
25,she'd
26,say
27,alright
28,got
29,home
30,late
31,last
32,night
33,i'm
34,supergirl
35,supergirls
36,fly
37,she'd
38,say
39,nothing
40,go
41,wrong
42,love
43,go
44,wrong
45,she'd
46,laugh
47,night
48,time
49,day
50,pushing
51,fear
52,long
53,she'd
54,say
55,okay
56,got
57,lost
58,way
59,i'm
60,supergirl
61,supergirls
62,cry
63,she'd
64,say
65,alright
66,got
67,home
68,late
69,last
70,night
71,i'm
72,supergirl
73,supergirls
74,fly
75,she'd
76,shout
77,line
78,tell
79,got
80,time
81,'cause
82,supergirl
83,supergirls
84,hide
85,she'd
86,scream
87,face
88,tell
89,leave
90,leave
91,place
92,'cause
93,supergirl
94,supergirls
95,fly
96,yes
97,supergirl
98,supergirl
99,sowin'
100,seeds
101,burnin'
102,trees
103,sowin'
104,seeds
105,burnin'
106,trees
107,yes
108,supergirl
109,supergirl
110,supergirl
111,supergirl
