,Va Va Voom_Nicki Minaj
0,met
1,boy
2,met
3,boy
4,come
5,inside
6,playpen
7,'cause
8,look
9,like
10,superstar
11,making
12,think
13,i'm
14,going
15,taking
16,hear
17,grapevine
18,he's
19,cakin'
20,shoot
21,movie
22,tapin'
23,boom
24,boom
25,pow
26,thing
27,shakin'
28,ain't
29,even
30,tryna
31,find
32,datin'
33,prechorus
34,'cause
35,know
36,got
37,wife
38,home
39,need
40,one
41,night
42,alone
43,keep
44,playin'
45,gggames
46,i'mma
47,run
48,awayay
49,i'mma
50,run
51,awayayay
52,iii
53,wanna
54,give
55,one
56,last
57,option
58,iii
59,wanna
60,give
61,one
62,last
63,chance
64,ifif
65,looking
66,main
67,attraction
68,hold
69,tight
70,let
71,dance
72,want
73,i'm
74,gonna
75,va
76,va
77,voom
78,voom
79,got
80,got
81,got
82,boom
83,boom
84,want
85,i'm
86,gonna
87,va
88,va
89,voom
90,voom
91,got
92,got
93,got
94,boom
95,boom
96,met
97,boy
98,met
99,boy
100,become
101,little
102,problem
103,'cause
104,look
105,like
106,modeling
107,clothes
108,dublin
109,think
110,getting
111,green
112,goblin
113,hear
114,grapevine
115,hang
116,low
117,shoot
118,movie
119,bang
120,like
121,rambo
122,boom
123,boom
124,pow
125,thing
126,bingo
127,wondering
128,understand
129,lingo
130,prechorus
131,'cause
132,know
133,got
134,wife
135,home
136,need
137,one
138,night
139,alone
140,keep
141,playin'
142,gggames
143,i'mma
144,run
145,awayay
146,i'mma
147,run
148,awayayay
149,iii
150,wanna
151,give
152,one
153,last
154,option
155,iii
156,wanna
157,give
158,one
159,last
160,chance
161,ifif
162,looking
163,main
164,attraction
165,hold
166,tight
167,let
168,dance
169,want
170,i'm
171,gonna
172,va
173,va
174,voom
175,voom
176,got
177,got
178,got
179,boom
180,boom
181,want
182,i'm
183,gonna
184,va
185,va
186,voom
187,voom
188,got
189,got
190,got
191,boom
192,boom
193,boy
194,i'm
195,club
196,slowmo
197,mind
198,tell
199,feeling
200,jump
201,wanna
202,ride
203,got
204,hot
205,shit
206,boy
207,blessed
208,let
209,feel
210,chest
211,flex
212,man
213,man
214,onehundred
215,grand
216,old
217,game
218,blow
219,yes
220,play
221,well
222,come
223,baby
224,lay
225,let
226,stay
227,let
228,show
229,run
230,things
231,playground
232,come
233,get
234,va
235,va
236,voom
237,voom
238,woo
239,woo
240,iii
241,wanna
242,give
243,one
244,last
245,option
246,iii
247,wanna
248,give
249,one
250,last
251,chance
252,ifif
253,looking
254,main
255,attraction
256,hold
257,tight
258,let
259,dance
260,want
261,i'm
262,gonna
263,va
264,va
265,voom
266,voom
267,got
268,got
269,got
270,boom
271,boom
272,want
273,i'm
274,gonna
275,va
276,va
277,voom
278,voom
279,got
280,got
281,got
282,boom
283,boom
