,Shape Of My Heart_Sting
0,deals
1,cards
2,meditation
3,plays
4,never
5,suspect
6,play
7,money
8,wins
9,play
10,respect
11,deals
12,cards
13,find
14,answer
15,sacred
16,geometry
17,chance
18,hidden
19,law
20,probable
21,outcome
22,numbers
23,lead
24,dance
25,know
26,spades
27,swords
28,soldier
29,know
30,clubs
31,weapons
32,war
33,know
34,diamonds
35,mean
36,money
37,art
38,that's
39,shape
40,heart
41,may
42,play
43,jack
44,diamonds
45,may
46,lay
47,queen
48,spades
49,may
50,conceal
51,king
52,hand
53,memory
54,fades
55,know
56,spades
57,swords
58,soldier
59,know
60,clubs
61,weapons
62,war
63,know
64,diamonds
65,mean
66,money
67,art
68,that's
69,shape
70,heart
71,that's
72,shape
73,shape
74,heart
75,​​harmonica
76,solo​​
77,told
78,loved
79,maybe
80,think
81,there's
82,something
83,wrong
84,i'm
85,man
86,many
87,faces
88,mask
89,wear
90,one
91,speak
92,know
93,nothing
94,find
95,cost
96,like
97,curse
98,luck
99,many
100,places
101,fear
102,lost
103,know
104,spades
105,swords
106,soldier
107,know
108,clubs
109,weapons
110,war
111,know
112,diamonds
113,mean
114,money
115,art
116,that's
117,shape
118,heart
119,that's
120,shape
121,heart
122,that's
123,shape
124,shape
125,heart
