,Shelter_Birdy
0,find
1,shelter
2,way
3,undercover
4,hideaway
5,hear
6,say
7,never
8,felt
9,way
10,maybe
11,said
12,something
13,wrong
14,make
15,better
16,lights
17,turned
18,maybe
19,said
20,something
21,wrong
22,make
23,better
24,lights
25,turned
26,felt
27,crystal
28,air
29,still
30,want
31,drown
32,whenever
33,leave
34,please
35,teach
36,gently
37,breathe
38,i'll
39,cross
40,oceans
41,like
42,never
43,feel
44,way
45,feel
46,i'll
47,send
48,images
49,back
50,see
51,way
52,feel
53,maybe
54,said
55,something
56,wrong
57,make
58,better
59,lights
60,turned
61,maybe
62,said
63,something
64,wrong
65,make
66,better
67,lights
68,turned
