,Wrecking Ball_Miley Cyrus
0,clawed
1,chained
2,hearts
3,vain
4,jumped
5,never
6,asking
7,kissed
8,fell
9,spell
10,love
11,one
12,could
13,deny
14,prechorus
15,ever
16,say
17,walked
18,away
19,always
20,want
21,can't
22,live
23,lie
24,running
25,life
26,always
27,want
28,came
29,like
30,wrecking
31,ball
32,never
33,hit
34,hard
35,love
36,wanted
37,break
38,walls
39,ever
40,wreck
41,yeah
42,wreck
43,put
44,high
45,sky
46,coming
47,slowly
48,turned
49,let
50,burn
51,we're
52,ashes
53,ground
54,prechorus
55,ever
56,say
57,walked
58,away
59,always
60,want
61,can't
62,live
63,lie
64,running
65,life
66,always
67,want
68,came
69,like
70,wrecking
71,ball
72,never
73,hit
74,hard
75,love
76,wanted
77,break
78,walls
79,ever
80,wreck
81,came
82,like
83,wrecking
84,ball
85,yeah
86,closed
87,eyes
88,swung
89,left
90,crashing
91,blazing
92,fall
93,ever
94,wreck
95,yeah
96,wreck
97,never
98,meant
99,start
100,war
101,wanted
102,let
103,instead
104,using
105,force
106,guess
107,let
108,win
109,never
110,meant
111,start
112,war
113,wanted
114,let
115,guess
116,let
117,win
118,interlude
119,ever
120,say
121,walked
122,away
123,always
124,want
125,came
126,like
127,wrecking
128,ball
129,never
130,hit
131,hard
132,love
133,wanted
134,break
135,walls
136,ever
137,wreck
138,came
139,like
140,wrecking
141,ball
142,yeah
143,closed
144,eyes
145,swung
146,left
147,crashing
148,blazing
149,fall
150,ever
151,wreck
152,yeah
153,wreck
154,yeah
155,wreck
156,produced
157,dr
158,luke
159,cirkut
160,video
161,terry
162,richardson
