,You've Got the Love_Florence + the Machine
0,sometimes
1,feel
2,like
3,throwing
4,hands
5,air
6,know
7,count
8,sometimes
9,feel
10,like
11,saying
12,lord
13,care
14,got
15,love
16,need
17,see
18,sometimes
19,seems
20,going
21,rough
22,things
23,go
24,wrong
25,matter
26,seems
27,life
28,much
29,got
30,love
31,need
32,see
33,food
34,gone
35,daily
36,meal
37,oh
38,friends
39,gone
40,know
41,savior's
42,love
43,real
44,know
45,real
46,'cause
47,got
48,love
49,got
50,love
51,got
52,love
53,got
54,love
55,got
56,love
57,got
58,love
59,time
60,time
61,think
62,oh
63,lord
64,what's
65,use
66,time
67,time
68,think
69,good
70,'cause
71,sooner
72,later
73,life
74,things
75,love
76,lose
77,got
78,love
79,need
80,see
81,got
82,love
83,got
84,love
85,got
86,love
87,got
88,love
89,got
90,love
91,got
92,love
93,got
94,love
95,got
96,love
97,got
98,love
99,got
100,love
101,got
102,love
103,got
104,love
105,sometimes
106,feel
107,like
108,throwing
109,hands
110,air
111,'cause
112,know
113,count
114,oh
115,sometimes
116,feel
117,like
118,saying
119,lord
120,care
121,got
122,love
123,need
124,see
