,Hey Now_London Grammar
0,hey
1,letters
2,burning
3,bed
4,hey
5,feel
6,instincts
7,hey
8,bed
9,hey
10,hey
11,oh
12,know
13,frightening
14,oh
15,know
16,it’s
17,like
18,lightning
19,hey
20,hey
21,letters
22,burning
23,bed
24,hey
25,leave
26,wayside
27,like
28,imagination
29,calling
30,mirrors
31,hey
32,hey
33,oh
34,know
35,frightening
36,oh
37,know
38,it’s
39,like
40,lightning
41,hey
42,hey
43,hey
44,hey
