,L.O.V.E._Ashlee Simpson
0,i'm
1,talkin'
2,'bout
3,love
4,girls
5,stand
6,circle
7,clap
8,hands
9,up's
10,downs
11,highs
12,lows
13,matter
14,see
15,prechorus
16,boyfriend
17,answer
18,telephone
19,even
20,know
21,hell
22,goes
23,girls
24,we're
25,circle
26,nobody's
27,gonna
28,break
29,lolololove
30,lololo
31,oh
32,hear
33,say
34,lolololove
35,lololo
36,oh
37,hear
38,say
39,lolololove
40,lololo
41,i'm
42,talkin'
43,'bout
44,lolololove
45,lololo
46,postchorus
47,i'm
48,talking'
49,bout
50,love
51,say
52,girls
53,life
54,girls
55,life
56,oh
57,hold
58,need
59,another
60,one
61,think
62,grab
63,bag
64,got
65,money
66,need
67,man
68,room
69,prechorus
70,boyfriend
71,he'll
72,calling
73,anytime
74,need
75,girls
76,keep
77,mind
78,hold
79,need
80,another
81,one
82,got
83,good
84,lolololove
85,lololo
86,oh
87,hear
88,say
89,lolololove
90,lololo
91,oh
92,hear
93,say
94,lolololove
95,lololo
96,i'm
97,talkin'
98,'bout
99,lolololove
100,lololo
101,i'm
102,talkin'
103,'bout
104,love
105,love
106,energy
107,love
108,mystery
109,love
110,meant
111,true
112,love
113,part
114,love
115,heart
116,love
117,best
118,thing
119,breakdown
120,i'm
121,talkin'
122,'bout
123,love
124,lolololove
125,lololo
126,oh
127,hear
128,say
129,lolololove
130,lololo
131,hear
132,say
133,lolololove
134,lololo
135,i'm
136,talkin'
137,'bout
138,lolololove
139,lololo
140,i'm
141,talkin'
142,'bout
143,love
144,lolololove
145,lololo
146,oh
147,hear
148,say
149,lolololove
150,lololo
151,hear
152,say
153,lolololove
154,lololo
155,i'm
156,talkin'
157,'bout
158,lolololove
159,lololo
160,i'm
161,talking'
162,bout
163,i'm
164,talking'
165,bout
166,i'm
167,talking'
168,bout
169,love
