,Angel_Aerosmith
0,i'm
1,alone
2,yeah
3,know
4,face
5,night
6,i'm
7,tears
8,cryin'
9,want
10,love
11,let's
12,break
13,walls
14,us
15,make
16,tough
17,i'll
18,put
19,away
20,pride
21,enough's
22,enough
23,i've
24,suffered
25,i've
26,seen
27,light
28,baby
29,angel
30,come
31,save
32,tonight
33,angel
34,come
35,make
36,right
37,know
38,i'm
39,going
40,feeling
41,inside
42,yes
43,true
44,loneliness
45,took
46,ride
47,without
48,love
49,i'm
50,nothing
51,begger
52,without
53,love
54,dog
55,without
56,bone
57,i'm
58,sleeping
59,bed
60,alone
61,angel
62,come
63,save
64,tonight
65,angel
66,come
67,make
68,right
69,reason
70,live
71,reason
72,die
73,reason
74,give
75,break
76,cry
77,need
78,reason
79,baby
80,baby
81,angel
82,come
83,save
84,tonight
85,angel
86,come
87,make
88,right
89,come
90,save
91,tonight
92,x5
