,This Modern Love_Bloc Party
0,lost
1,forest
2,caught
3,adrift
4,trying
5,reach
6,bought
7,book
8,lost
9,forest
10,caught
11,adrift
12,i've
13,paid
14,i've
15,paid
16,lost
17,forest
18,caught
19,adrift
20,trying
21,reach
22,bought
23,book
24,lost
25,forest
26,caught
27,adrift
28,i've
29,paid
30,i've
31,weighed
32,i've
33,get
34,offended
35,seem
36,absentminded
37,keep
38,telling
39,facts
40,keep
41,making
42,smile
43,get
44,offended
45,seem
46,absent
47,minded
48,get
49,tonguetied
50,baby
51,got
52,discerning
53,i've
54,never
55,known
56,what's
57,good
58,baby
59,got
60,demanding
61,i'll
62,pay
63,time
64,i'll
65,pay
66,time
67,told
68,wanted
69,eat
70,sadness
71,well
72,jump
73,enjoy
74,gorge
75,away
76,told
77,wanted
78,eat
79,sadness
80,jump
81,right
82,baby
83,got
84,discerning
85,i've
86,never
87,known
88,what's
89,good
90,baby
91,got
92,demanding
93,jump
94,left
95,holding
96,what's
97,always
98,way
99,damn
100,absentminded
101,scared
102,romance
103,modern
104,love
105,breaks
106,modern
107,love
108,wastes
109,modern
110,love
111,breaks
112,modern
113,love
114,wastes
115,wanna
116,come
117,kill
118,time
119,wanna
120,come
121,kill
122,time
123,wanna
124,come
125,kill
126,time
127,throw
128,arms
129,around
