,#1 Crush_Garbage
0,would
1,die
2,would
3,die
4,i've
5,dying
6,feel
7,side
8,know
9,mine
10,cry
11,cry
12,wash
13,away
14,pain
15,tears
16,drown
17,fear
18,pray
19,pray
20,sell
21,soul
22,something
23,pure
24,true
25,someone
26,like
27,see
28,face
29,every
30,place
31,walk
32,hear
33,voice
34,every
35,time
36,talking
37,believe
38,never
39,ignored
40,burn
41,feel
42,pain
43,twist
44,knife
45,bleed
46,aching
47,heart
48,tear
49,apart
50,lie
51,beg
52,steal
53,crawl
54,hands
55,knees
56,see
57,like
58,violate
59,love
60,i'm
61,missing
62,blow
63,away
64,pain
65,i'm
66,living
67,believe
68,never
69,ignored
70,would
71,die
72,would
73,kill
74,would
75,steal
76,i'd
77,time
78,wait
79,i'd
80,make
81,room
82,i'd
83,sail
84,ships
85,close
86,part
87,cause
88,believe
89,believe
90,would
91,die
