,Friday I'm in Love_The Cure
0,care
1,monday's
2,blue
3,tuesday's
4,grey
5,wednesday
6,thursday
7,care
8,friday
9,i'm
10,love
11,monday
12,fall
13,apart
14,tuesday
15,wednesday
16,break
17,heart
18,oh
19,thursday
20,even
21,start
22,friday
23,i'm
24,love
25,saturday
26,wait
27,sunday
28,always
29,comes
30,late
31,friday
32,never
33,hesitate
34,care
35,monday's
36,black
37,tuesday
38,wednesday
39,heart
40,attack
41,thursday
42,never
43,looking
44,back
45,friday
46,i'm
47,love
48,monday
49,hold
50,head
51,tuesday
52,wednesday
53,stay
54,bed
55,thursday
56,watch
57,walls
58,instead
59,friday
60,i'm
61,love
62,saturday
63,wait
64,sunday
65,always
66,comes
67,late
68,friday
69,never
70,hesitate
71,dressed
72,eyes
73,wonderful
74,surprise
75,see
76,shoes
77,spirits
78,rise
79,throwing
80,frown
81,smiling
82,sound
83,sleek
84,shriek
85,spinning
86,round
87,round
88,always
89,take
90,big
91,bite
92,gorgeous
93,sight
94,see
95,eat
96,middle
97,night
98,never
99,get
100,enough
101,enough
102,stuff
103,friday
104,i'm
105,love
106,care
107,monday's
108,blue
109,tuesday's
110,grey
111,wednesday
112,thursday
113,care
114,friday
115,i'm
116,love
117,monday
118,fall
119,apart
120,tuesday
121,wednesday
122,break
123,heart
124,thursday
125,even
126,start
127,friday
128,i'm
129,love
