,Controlla_Drake
0,drake
1,right
2,yiy
3,changed
4,buzzed
5,front
6,gate
7,thank
8,god
9,came
10,many
11,days
12,could
13,wait
14,made
15,plans
16,let
17,'em
18,fall
19,drake
20,think
21,i'd
22,lie
23,think
24,i'd
25,die
26,jodeci
27,cry
28,things
29,want
30,like
31,controlla
32,controlla
33,yeah
34,like
35,controlla
36,controlla
37,yeah
38,drake
39,okay
40,like
41,get
42,aggressive
43,tell
44,go
45,slower
46,go
47,faster
48,like
49,controlla
50,controlla
51,yeah
52,like
53,controlla
54,controlla
55,yeah
56,drake
57,i’m
58,never
59,waste
60,ting
61,shawty
62,say
63,want
64,girls
65,wanna
66,take
67,money
68,want
69,give
70,nothing
71,want
72,nothing
73,wanna
74,see
75,find
76,lovin'
77,wanna
78,see
79,smiling
80,back
81,pree
82,drake
83,knowing
84,i'd
85,lie
86,thinking
87,i'd
88,die
89,jodeci
90,cry
91,things
92,want
93,like
94,controlla
95,controlla
96,yeah
97,like
98,controlla
99,controlla
100,yeah
101,break
102,beenie
103,man
104,gyal
105,tear
106,mi
107,garments
108,bawl
109,fi
110,come
111,inna
112,mi
113,apartment
114,woi
115,di
116,gyal
117,dem
118,want
119,di
120,length
121,strength
122,action
123,speak
124,louder
125,argument
126,well
127,drake
128,can't
129,diss
130,come
131,tell
132,man
133,sorry
134,can't
135,listen
136,talk
137,go
138,tell
139,story
140,nah
141,work
142,like
143,love
144,somebody
145,old
146,flex
147,new
148,flex
149,we're
150,workin'
151,yeah
152,that's
153,need
154,energy
155,bring
156,last
157,girl
158,would
159,tear
160,apart
161,she'd
162,never
163,wanna
164,split
165,ting
166,drake
167,comes
168,think
169,i'd
170,lie
171,think
172,i'd
173,die
174,things
175,want
176,like
177,controlla
178,controlla
179,yeah
180,like
181,controlla
182,controlla
183,yeah
184,drake
185,i’m
186,never
187,waste
188,ting
189,shawty
190,say
191,want
192,girls
193,wanna
194,take
195,money
196,want
197,give
198,nothing
199,want
200,nothing
201,wanna
202,see
203,find
204,lovin'
205,wanna
206,see
207,smiling
208,back
209,pree
210,jheeze
211,beenie
212,man
213,music
214,drop
215,gyal
216,whine
217,dem
218,bumpa
219,dis
220,di
221,summa
222,summa
223,controlla
224,drake
225,canada
226,beenie
227,man
228,jamaica
229,dah
230,one
231,yah
232,murda—zagga
