,The Luckiest Guy on the Lower East Side_The Magnetic Fields
0,andy
1,would
2,bicycle
3,across
4,town
5,rain
6,bring
7,candy
8,john
9,would
10,buy
11,gown
12,wear
13,prom
14,tom
15,astronomer
16,who'd
17,name
18,star
19,i'm
20,luckiest
21,guy
22,lower
23,east
24,side
25,cause
26,i've
27,got
28,wheels
29,want
30,go
31,ride
32,harry
33,one
34,think
35,marry
36,chris
37,kissed
38,school
39,well
40,i'm
41,fool
42,there's
43,doubt
44,sun
45,comes
46,sun
47,comes
48,out…
49,i'm
50,luckiest
51,guy
52,lower
53,east
54,side
55,cause
56,i've
57,got
58,wheels
59,want
60,go
61,ride
62,day
63,beautiful
64,car
65,ugly
66,i'm
67,ugly
68,know
69,never
70,give
71,second
72,glance
73,weather's
74,nice
75,guys
76,stand
77,chance
78,know
79,professor
80,blumen
81,makes
82,feel
83,like
84,woman
85,wind
86,hair
87,laugh
88,like
89,little
90,girl
91,share
92,secrets
93,lou
94,we've
95,got
96,secrets
97,well
98,one
99,keep
100,heap
101,cause
102,i'm
103,ugliest
104,guy
105,lower
106,east
107,side
108,i've
109,got
110,wheels
111,want
112,go
113,ride
114,want
115,go
116,ride
117,want
118,go
119,ride
120,want
121,go
122,ride
