,Look What You've Done_Jet
0,take
1,photo
2,wall
3,won’t
4,sing
5,‘cause
6,that’s
7,left
8,gone
9,away
10,there’s
11,nothing
12,prove
13,oh
14,look
15,you’ve
16,done
17,you’ve
18,made
19,fool
20,everyone
21,oh
22,well
23,seems
24,likes
25,fun
26,lose
27,give
28,back
29,point
30,view
31,‘cause
32,can’t
33,think
34,hardly
35,hear
36,say
37,well
38,choose
39,oh
40,look
41,you’ve
42,done
43,you’ve
44,made
45,fool
46,everyone
47,oh
48,well
49,seems
50,likes
51,fun
52,lose
53,refrain
54,oh
55,look
56,you’ve
57,done
58,you’ve
59,made
60,fool
61,everyone
62,fool
63,everyone
64,fool
65,everyone
66,variant
67,take
68,photo
69,wall
70,won’t
71,sing
72,‘cause
73,that’s
74,left
75,gone
76,away
77,there’s
78,nothing
79,oh
80,look
81,you’ve
82,done
83,you’ve
84,made
85,fool
86,everyone
87,oh
88,well
89,seems
90,likes
91,fun
92,lose
93,coda
94,oh
95,look
96,you’ve
97,done
98,you’ve
99,made
100,fool
101,everyone
102,fool
103,everyone
104,fool
105,everyone
