,A House Is Not a Motel_Love
0,house
1,i've
2,got
3,shackles
4,come
5,look
6,want
7,halls
8,see
9,mantles
10,light
11,shines
12,dim
13,around
14,streets
15,paved
16,gold
17,someone
18,asks
19,call
20,name
21,thought
22,someone
23,somewhere
24,somehow
25,feels
26,real
27,touch
28,smell
29,feel
30,know
31,streets
32,paved
33,gold
34,someone
35,asks
36,call
37,name
38,call
39,name
40,hear
41,calling
42,name
43,yeah
44,right
45,time
46,i'm
47,singing
48,bells
49,schools
50,walls
51,ringing
52,confusions
53,blood
54,transfusions
55,news
56,today
57,movies
58,tomorrow
59,water's
60,turned
61,blood
62,think
63,go
64,turn
65,tub
66,mixed
67,mud
68,see
69,turn
70,gray
71,call
72,name
73,hear
74,calling
75,name
