,Bed Of Roses_Bon Jovi
0,sitting
1,wasted
2,wounded
3,old
4,piano
5,trying
6,hard
7,capture
8,moment
9,morning
10,know
11,cause
12,bottle
13,vodka
14,still
15,lodged
16,head
17,blonde
18,gave
19,nightmares
20,think
21,still
22,bed
23,dream
24,movies
25,make
26,i'm
27,dead
28,ironclad
29,fist
30,wake
31,french
32,kiss
33,morning
34,marching
35,band
36,keeps
37,beat
38,head
39,we're
40,talking
41,things
42,long
43,believe
44,love
45,truth
46,mean
47,truth
48,baby
49,need
50,want
51,lay
52,bed
53,roses
54,tonight
55,sleep
56,bed
57,nails
58,oh
59,want
60,close
61,holy
62,ghost
63,lay
64,bed
65,roses
66,well
67,i'm
68,far
69,away
70,step
71,take
72,way
73,home
74,king's
75,ransom
76,dimes
77,i'd
78,given
79,night
80,see
81,payphone
82,still
83,run
84,time
85,hard
86,get
87,till
88,bird
89,wire
90,flies
91,back
92,i'll
93,close
94,eyes
95,whisper
96,baby
97,blind
98,love
99,true
100,want
101,lay
102,bed
103,roses
104,tonight
105,sleep
106,bed
107,nails
108,oh
109,want
110,close
111,holy
112,ghost
113,lay
114,bed
115,roses
116,hotel
117,bar
118,hangover
119,whiskey's
120,gone
121,dry
122,barkeeper's
123,wig's
124,crooked
125,giving
126,eye
127,might
128,said
129,yeah
130,laughed
131,hard
132,think
133,died
134,guitar
135,solo
136,close
137,eyes
138,know
139,i'll
140,thinking
141,mistress
142,calls
143,stand
144,spotlight
145,tonight
146,alone
147,know
148,mean
149,i'm
150,lonely
151,i've
152,got
153,nothing
154,prove
155,i'd
156,die
157,defend
158,want
159,lay
160,bed
161,roses
162,tonight
163,sleep
164,bed
165,nails
166,want
167,close
168,holy
169,ghost
170,lay
171,bed
172,roses
173,want
174,lay
175,bed
176,roses
177,tonight
178,sleep
179,bed
180,nails
181,want
182,close
183,holy
184,ghost
185,lay
186,bed
187,roses
