,All My Little Words_The Magnetic Fields
0,splendid
1,butterfly
2,wings
3,make
4,beautiful
5,could
6,make
7,fly
8,away
9,could
10,make
11,fly
12,away
13,could
14,never
15,make
16,stay
17,said
18,love
19,said
20,love
21,us
22,know
23,that's
24,impossible
25,could
26,make
27,rue
28,day
29,rue
30,day
31,could
32,never
33,make
34,stay
35,tea
36,china
37,could
38,sing
39,like
40,bird
41,north
42,carolina
43,little
44,words
45,could
46,write
47,sweetest
48,song
49,ever
50,heard
51,matter
52,matter
53,little
54,words
55,solo
56,made
57,want
58,die
59,tell
60,unboyfriendable
61,could
62,make
63,pay
64,pain
65,pay
66,pain
67,could
68,never
69,make
70,stay…
71,tea
72,china
73,could
74,sing
75,like
76,bird
77,north
78,carolina
79,little
80,words
81,could
82,write
83,sweetest
84,song
85,ever
86,heard
87,matter
88,matter
89,little
90,words
91,matter
92,matter
93,little
94,words
