,Ave Maria_Beyoncé
0,lost
1,many
2,different
3,ways
4,darkness
5,guide
6,know
7,cost
8,losing
9,hand
10,grace
11,god
12,go
13,found
14,heaven
15,earth
16,last
17,first
18,hear
19,voice
20,inside
21,ave
22,maria
23,i've
24,alone
25,i'm
26,surrounded
27,friends
28,could
29,silence
30,loud
31,still
32,go
33,home
34,knowing
35,i've
36,got
37,there's
38,us
39,lights
40,go
41,heaven
42,earth
43,hunger
44,thirst
45,always
46,hear
47,voice
48,inside
49,singing
50,ave
51,maria
52,sometimes
53,love
54,come
55,pass
56,busy
57,making
58,plans
59,suddenly
60,hit
61,realize
62,hands
63,baby
64,got
65,understand
66,heaven
67,earth
68,last
69,first
70,hear
71,voice
72,inside
73,ave
74,maria
75,ave
76,maria
77,ave
78,maria
