,I'm Looking Through You_The Beatles
0,two
1,false
2,starts
3,us
4,version
5,i'm
6,looking
7,go
8,thought
9,knew
10,know
11,look
12,different
13,changed
14,i'm
15,looking
16,lips
17,moving
18,cannot
19,hear
20,voice
21,soothing
22,words
23,clear
24,sound
25,different
26,i've
27,learned
28,game
29,i'm
30,looking
31,tell
32,treat
33,right
34,love
35,nasty
36,habit
37,disappearing
38,overnight
39,thinking
40,old
41,way
42,today
43,difference
44,i'm
45,looking
46,nowhere
47,tell
48,treat
49,right
50,love
51,nasty
52,habit
53,disappearing
54,overnight
55,i'm
56,looking
57,go
58,thought
59,knew
60,know
61,look
62,different
63,changed
64,i'm
65,looking
66,yeah
67,oh
68,baby
69,changed
70,ah
71,i'm
72,looking
73,yeah
74,i'm
75,looking
76,changed
77,changed
78,changed
79,changed
