,Where Is the Love_Black Eyed Peas
0,william
1,what's
2,wrong
3,world
4,mama
5,people
6,livin'
7,like
8,ain't
9,got
10,mamas
11,think
12,whole
13,world's
14,addicted
15,drama
16,attracted
17,things
18,bring
19,trauma
20,overseas
21,yeah
22,tryin'
23,stop
24,terrorism
25,still
26,got
27,terrorists
28,livin'
29,usa
30,big
31,cia
32,bloods
33,crips
34,kkk
35,love
36,race
37,leave
38,space
39,discriminate
40,discriminate
41,generates
42,hate
43,hate
44,bound
45,get
46,irate
47,madness
48,demonstrate
49,that's
50,exactly
51,anger
52,works
53,operates
54,man
55,gotta
56,love
57,this'll
58,set
59,us
60,straight
61,take
62,control
63,mind
64,meditate
65,let
66,soul
67,gravitate
68,love
69,y'all
70,y'all
71,people
72,killin'
73,people
74,dyin'
75,children
76,hurt
77,hear
78,cryin'
79,practice
80,preach
81,would
82,turn
83,cheek
84,father
85,father
86,father
87,help
88,us
89,send
90,guidance
91,people
92,got
93,got
94,questionin'
95,love
96,love
97,love
98,love
99,love
100,love
101,love
102,love
103,love
104,taboo
105,ain't
106,old
107,ways
108,changed
109,new
110,days
111,strange
112,world
113,insane
114,love
115,peace
116,strong
117,pieces
118,love
119,belong
120,nations
121,droppin'
122,bombs
123,chemical
124,gases
125,fillin'
126,lungs
127,little
128,ones
129,ongoing
130,sufferin'
131,youth
132,die
133,young
134,ask
135,lovin'
136,really
137,gone
138,ask
139,really
140,going
141,wrong
142,world
143,livin'
144,people
145,keep
146,givin'
147,makin'
148,wrong
149,decisions
150,visions
151,dividends
152,respectin'
153,deny
154,thy
155,brother
156,war
157,goin'
158,reason's
159,undercover
160,truth
161,kept
162,secret
163,swept
164,rug
165,never
166,know
167,truth
168,never
169,know
170,love
171,where's
172,love
173,y'all
174,come
175,know
176,where's
177,truth
178,y'all
179,come
180,know
181,where's
182,love
183,y'all
184,people
185,killin'
186,people
187,dyin'
188,children
189,hurt
190,hear
191,cryin'
192,practice
193,preach
194,would
195,turn
196,cheek
197,father
198,father
199,father
200,help
201,us
202,send
203,guidance
204,people
205,got
206,got
207,questionin'
208,love
209,love
210,love
211,love
212,love
213,love
214,love
215,love
216,love
217,apldeap
218,feel
219,weight
220,world
221,shoulder
222,i'm
223,getting
224,older
225,y'all
226,people
227,gets
228,colder
229,us
230,care
231,moneymakin'
232,selfishness
233,got
234,us
235,followin'
236,wrong
237,direction
238,wrong
239,information
240,always
241,shown
242,media
243,negative
244,images
245,main
246,criteria
247,infecting
248,young
249,minds
250,faster
251,bacteria
252,kids
253,wanna
254,act
255,like
256,see
257,cinema
258,yo
259,whatever
260,happened
261,values
262,humanity
263,whatever
264,happened
265,fairness
266,equality
267,instead
268,spreadin'
269,love
270,spreadin'
271,animosity
272,lack
273,understandin'
274,leading
275,us
276,away
277,unity
278,that's
279,reason
280,sometimes
281,i'm
282,feelin'
283,that's
284,reason
285,sometimes
286,i'm
287,feelin'
288,wonder
289,sometimes
290,i'm
291,feelin'
292,gotta
293,keep
294,faith
295,alive
296,'til
297,love
298,found
299,ask
300,yourself…
301,william
302,love
303,love
304,love
305,love
306,father
307,father
308,father
309,help
310,us
311,send
312,guidance
313,people
314,got
315,got
316,questionin'
317,love
318,sing
319,y'all
320,one
321,world
322,one
323,world
324,got
325,one
326,world
327,one
328,world
329,that's
330,got
331,one
332,world
333,one
334,world
335,something's
336,wrong
337,something's
338,wrong
339,something's
340,wrong
341,wwworld
342,got
343,one
344,world
345,one
346,world
347,that's
348,got
349,one
350,world
351,one
352,world
