,Love Hurts_Nazareth
0,love
1,hurts
2,love
3,scars
4,love
5,wounds
6,marks
7,heart
8,tough
9,strong
10,enough
11,take
12,lot
13,pain
14,take
15,lot
16,pain
17,love
18,like
19,cloud
20,holds
21,lot
22,rain
23,love
24,hurts
25,ooh
26,ooh
27,love
28,hurts
29,i'm
30,young
31,know
32,even
33,know
34,thing
35,two
36,learned
37,really
38,learned
39,lot
40,really
41,learned
42,lot
43,love
44,like
45,flame
46,burns
47,hot
48,love
49,hurts
50,ooh
51,ooh
52,love
53,hurts
54,fools
55,think
56,happiness
57,blissfulness
58,togetherness
59,fools
60,fool
61,guess
62,they're
63,foolin'
64,know
65,true
66,know
67,true
68,love
69,lie
70,made
71,make
72,blue
73,love
74,hurts
75,ooh
76,ooh
77,love
78,hurts
79,ooh
80,ooh
81,love
82,hurts
83,know
84,true
85,know
86,true
87,love
88,lie
89,made
90,make
91,blue
92,love
93,hurts
94,ooh
95,ooh
96,love
97,hurts
98,ooh
99,ooh
100,love
101,hurts
102,ooh
103,ooh
