,Strangers in the Night_Frank Sinatra
0,strangers
1,night
2,exchanging
3,glances
4,wondering
5,night
6,chances
7,we'd
8,sharing
9,love
10,night
11,something
12,eyes
13,inviting
14,something
15,smile
16,exciting
17,something
18,heart
19,told
20,must
21,strangers
22,night
23,two
24,lonely
25,people
26,strangers
27,night
28,moment
29,said
30,first
31,hello
32,little
33,know
34,love
35,glance
36,away
37,warm
38,embracing
39,dance
40,away
41,ever
42,since
43,night
44,we've
45,together
46,lovers
47,first
48,sight
49,love
50,forever
51,turned
52,right
53,strangers
54,night
55,instrumentalfirst
56,three
57,lines
58,love
59,glance
60,away
61,warm
62,embracing
63,dance
64,away
65,ever
66,since
67,night
68,we've
69,together
70,lovers
71,first
72,sight
73,love
74,forever
75,turned
76,right
77,strangers
78,night
79,doobydooobydoo
80,scat
81,end
