,What Sarah Said_Death Cab for Cutie
0,came
1,every
2,plan
3,tiny
4,prayer
5,father
6,time
7,stared
8,shoes
9,icu
10,reeked
11,piss
12,409
13,rationed
14,breaths
15,said
16,i'd
17,already
18,taken
19,much
20,today
21,descending
22,peak
23,lcd
24,took
25,little
26,farther
27,away
28,away
29,amongst
30,vending
31,machines
32,yearold​
33,magazines
34,place
35,say
36,goodbye
37,stung
38,like
39,violent
40,wind
41,memories
42,depend
43,faulty
44,camera
45,minds
46,knew
47,truth
48,would
49,rather
50,lose
51,never
52,lain
53,beside
54,looked
55,around
56,eyes
57,ground
58,tv
59,entertained
60,'cause
61,there's
62,comfort
63,waiting
64,room
65,nervous
66,paces
67,bracing
68,bad
69,news
70,nurse
71,comes
72,round
73,everyone
74,lifts
75,head
76,i'm
77,thinking
78,sarah
79,said
80,love
81,watching
82,someone
83,die
84,who's
85,gonna
86,watch
87,die
88,who's
89,gonna
90,watch
91,die
92,who's
93,gonna
94,watch
95,die
