,Can't Take My Eyes Off of You_Lauryn Hill
0,good
1,true
2,can't
3,take
4,eyes
5,like
6,heaven
7,touch
8,heaven
9,touch
10,wanna
11,hold
12,much
13,hold
14,much
15,long
16,last
17,love
18,arrived
19,thank
20,god
21,i'm
22,alive
23,good
24,true
25,can't
26,take
27,eyes
28,pardon
29,way
30,stare
31,way
32,stare
33,there's
34,nothing
35,else
36,compare
37,sight
38,leaves
39,weak
40,words
41,left
42,speak
43,words
44,left
45,speak
46,feel
47,like
48,feel
49,please
50,let
51,know
52,real
53,good
54,true
55,can't
56,take
57,eyes
58,prechorus
59,need
60,baby
61,quite
62,right
63,need
64,baby
65,warm
66,lonely
67,night
68,love
69,baby
70,trust
71,say
72,okay
73,oh
74,pretty
75,baby
76,let
77,pray
78,oh
79,pretty
80,baby
81,found
82,stay
83,let
84,love
85,oh
86,baby—let
87,love
88,oh
89,baby—
90,good
91,true
92,can't
93,take
94,eyes
95,eyes
96,like
97,heaven
98,touch
99,wanna
100,hold
101,much
102,hold
103,much
104,long
105,last
106,love
107,arrived
108,thank
109,god
110,i'm
111,alive
112,good
113,true
114,can't
115,take
116,eyes
117,prechorus
118,need
119,baby
120,quite
121,right
122,need
123,baby
124,warm
125,lonely
126,night
127,love
128,baby
129,trust
130,say
131,okay
132,oh
133,pretty
134,baby
135,let
136,pray
137,oh
138,pretty
139,baby
140,found
141,stay
142,let
143,love
144,oh
145,baby—let
146,love
147,oh
148,baby—
149,need
150,baby
151,quite
152,right
153,need
154,baby
155,warm
156,lonely
157,night
158,love
159,baby
160,trust
161,say
162,okay
163,oh
164,pretty
165,baby
166,let
167,pray
168,oh
169,pretty
170,baby
171,found
172,stay
173,let
174,love
175,oh
176,baby—let
177,love
178,oh
179,baby—
