,Song for Zula_Phosphorescent
0,say
1,love
2,burning
3,thing
4,makes
5,fiery
6,ring
7,oh
8,know
9,love
10,fading
11,thing
12,fickle
13,feather
14,stream
15,see
16,honey
17,saw
18,love
19,see
20,came
21,put
22,face
23,face
24,could
25,see
26,yeah
27,saw
28,love
29,disfigure
30,something
31,recognizing
32,see
33,cage
34,called
35,said
36,‘come
37,in’
38,open
39,way
40,lay
41,face
42,soil
43,teeth
44,sand
45,lay
46,like
47,days
48,upon
49,end
50,see
51,fall
52,see
53,struggle
54,stand
55,acknowledged
56,touch
57,gnarled
58,hand
59,see
60,cage
61,called
62,said
63,‘come
64,in’
65,open
66,way
67,see
68,moon
69,bright
70,treetop
71,night
72,see
73,shadows
74,cast
75,cold
76,clean
77,light
78,feet
79,gold
80,heart
81,white
82,race
83,desert
84,plains
85,night
86,see
87,honey
88,broken
89,thing
90,lay
91,dark
92,waiting
93,thee
94,heart
95,gold
96,feet
97,light
98,racing
99,desert
100,plains
101,night
102,say
103,love
104,burning
105,thing
106,makes
107,fiery
108,ring
109,oh
110,know
111,love
112,caging
113,thing
114,killer
115,come
116,call
117,awful
118,dream
119,ah
120,folks
121,come
122,see
123,stand
124,glass
125,looking
126,heart
127,wild
128,bones
129,steam
130,could
131,kill
132,bare
133,hands
134,free
