,Stuck on You_Lionel Richie
0,stuck
1,i've
2,got
3,feeling
4,deep
5,soul
6,can't
7,lose
8,guess
9,i'm
10,way
11,needed
12,friend
13,way
14,feel
15,guess
16,i'll
17,'til
18,end
19,guess
20,i'm
21,way
22,mighty
23,glad
24,stayed
25,i'm
26,stuck
27,fool
28,long
29,guess
30,time
31,come
32,home
33,guess
34,i'm
35,way
36,hard
37,see
38,woman
39,like
40,could
41,wait
42,around
43,man
44,like
45,guess
46,i'm
47,way
48,mighty
49,glad
50,stayed
51,oh
52,i'm
53,leaving
54,midnight
55,train
56,tomorrow
57,know
58,i'm
59,going
60,i've
61,packed
62,troubles
63,i've
64,thrown
65,away
66,'cause
67,time
68,little
69,darling
70,i'm
71,coming
72,home
73,stay
74,i'm
75,stuck
76,i've
77,got
78,feeling
79,deep
80,soul
81,can't
82,lose
83,guess
84,i'm
85,way
86,needed
87,friend
88,way
89,feel
90,guess
91,i'll
92,'til
93,end
94,guess
95,i'm
96,way
97,i'm
98,mighty
99,glad
100,stayed
