,No Air_Jordin Sparks
0,jordin
1,sparks
2,tell
3,i'm
4,supposed
5,breathe
6,air
7,air
8,air
9,ooh
10,oh
11,jordin
12,sparks
13,chris
14,brown
15,die
16,wake
17,'cause
18,took
19,breath
20,away
21,losing
22,like
23,living
24,world
25,air
26,oh
27,i'm
28,alone
29,wanna
30,leave
31,heart
32,move
33,incomplete
34,wish
35,way
36,make
37,understand
38,prechorus
39,jordin
40,sparks
41,expect
42,live
43,alone
44,'cause
45,world
46,revolves
47,around
48,hard
49,breathe
50,jordin
51,sparks
52,chris
53,brown
54,tell
55,i'm
56,supposed
57,breathe
58,air
59,can't
60,live
61,can't
62,breathe
63,air
64,that's
65,feel
66,whenever
67,ain't
68,air
69,air
70,got
71,water
72,deep
73,tell
74,gon'
75,without
76,ain't
77,can't
78,breathe
79,air
80,air
81,jordin
82,sparks
83,chris
84,brown
85,air
86,air
87,oh
88,air
89,air
90,ooh
91,air
92,air
93,oh
94,ah
95,air
96,air
97,chris
98,brown
99,jordin
100,sparks
101,walked
102,ran
103,jumped
104,flew
105,right
106,ground
107,float
108,there's
109,gravity
110,hold
111,real
112,somehow
113,i'm
114,still
115,alive
116,inside
117,took
118,breath
119,survived
120,know
121,even
122,care
123,prechorus
124,jordin
125,sparks
126,chris
127,brown
128,expect
129,live
130,alone
131,oh
132,oh
133,'cause
134,world
135,revolves
136,around
137,hard
138,breathe
139,jordin
140,sparks
141,chris
142,brown
143,tell
144,i'm
145,supposed
146,breathe
147,air
148,oh
149,oh
150,can't
151,live
152,can't
153,breathe
154,air
155,oh
156,oh
157,that's
158,feel
159,whenever
160,ain't
161,air
162,air
163,got
164,water
165,deep
166,deep
167,tell
168,gon'
169,without
170,without
171,yeah
172,ain't
173,can't
174,breathe
175,breathe
176,air
177,air
178,air
179,jordin
180,sparks
181,air
182,air
183,oh
184,air
185,air
186,oh
187,air
188,air
189,whoa
190,air
191,air
192,jordin
193,sparks
194,chris
195,brown
196,air
197,ooh
198,baby
199,oh
200,air
201,air
202,hey
203,ooh
204,air
205,oh
206,air
207,oh
208,oh
209,jordin
210,sparks
211,chris
212,brown
213,tell
214,i'm
215,supposed
216,breathe
217,air
218,air
219,can't
220,live
221,can't
222,breathe
223,air
224,oh
225,whoa
226,air
227,that's
228,feel
229,whenever
230,ain't
231,breathing
232,breathing
233,air
234,air
235,got
236,water
237,deep
238,deep
239,deep
240,tell
241,gon'
242,without
243,without
244,yeah
245,can't
246,live
247,without
248,baby
249,ain't
250,can't
251,breathe
252,breathe
253,air
254,air
255,air
256,prechorus
257,jordin
258,sparks
259,chris
260,brown
261,air
262,air
263,expect
264,air
265,air
266,baby
267,bae
268,live
269,alone
270,air
271,air
272,oh
273,'cause
274,world
275,revolves
276,around
277,oh
278,whoa
279,whoa
280,air
281,air
282,hard
283,breathe
284,hard
285,breathe
286,oh
287,jordin
288,sparks
289,chris
290,brown
291,tell
292,i'm
293,supposed
294,breathe
295,air
296,air
297,can't
298,live
299,can't
300,breathe
301,air
302,hard
303,breathe
304,that's
305,feel
306,whenever
307,ain't
308,oh
309,air
310,air
311,got
312,water
313,deep
314,tell
315,gon'
316,without
317,ain't
318,can't
319,breathe
320,air
321,air
322,jordin
323,sparks
324,chris
325,brown
326,air
327,air
328,oh
329,air
330,air
331,oh
332,oh
333,whoa
334,air
335,air
336,air
337,air
