,Love on Top_Beyoncé
0,bring
1,beat
2,honey
3,honey
4,see
5,stars
6,way
7,can't
8,see
9,glow
10,window
11,pane
12,feel
13,sun
14,whenever
15,near
16,every
17,time
18,touch
19,melt
20,away
21,prechorus
22,everybody
23,asks
24,i'm
25,smiling
26,ear
27,ear
28,say
29,love
30,hurts
31,know
32,gonna
33,take
34,little
35,work
36,oh
37,nothing's
38,perfect
39,worth
40,fighting
41,tears
42,finally
43,put
44,first
45,baby
46,one
47,love
48,one
49,need
50,one
51,see
52,come
53,baby
54,one
55,gives
56,one
57,always
58,call
59,need
60,make
61,everything
62,stop
63,finally
64,put
65,love
66,top
67,postchorus
68,ooh
69,come
70,baby
71,put
72,love
73,top
74,top
75,top
76,top
77,top
78,put
79,love
80,top
81,ooh
82,come
83,baby
84,put
85,love
86,top
87,top
88,top
89,top
90,top
91,put
92,love
93,top
94,baby
95,baby
96,feel
97,wind
98,whipping
99,past
100,face
101,dance
102,night
103,away
104,boy
105,lips
106,taste
107,like
108,night
109,champagne
110,kiss
111,prechorus
112,everybody
113,asks
114,i'm
115,smiling
116,ear
117,ear
118,say
119,love
120,hurts
121,know
122,gonna
123,take
124,little
125,work
126,oh
127,nothing's
128,perfect
129,worth
130,fighting
131,tears
132,finally
133,put
134,first
135,baby
136,one
137,love
138,one
139,need
140,one
141,see
142,come
143,baby
144,one
145,gives
146,one
147,always
148,call
149,need
150,make
151,everything
152,stop
153,finally
154,put
155,love
156,top
157,postchorus
158,ooh
159,baby
160,put
161,love
162,top
163,top
164,top
165,top
166,top
167,put
168,love
169,top
170,ooh
171,come
172,baby
173,put
174,love
175,top
176,top
177,top
178,top
179,top
180,put
181,love
182,top
183,baby
184,one
185,love
186,one
187,need
188,thing
189,see
190,come
191,baby
192,one
193,gives
194,one
195,always
196,call
197,need
198,baby
199,everything
200,stops
201,finally
202,put
203,love
204,top
205,baby
206,one
207,love
208,baby
209,need
210,one
211,see
212,come
213,baby
214,one
215,gives
216,one
217,always
218,call
219,need
220,make
221,everything
222,stop
223,finally
224,put
225,love
226,top
227,baby
228,'cause
229,one
230,love
231,baby
232,one
233,need
234,one
235,see
236,baby
237,baby
238,one
239,gives
240,one
241,always
242,calls
243,need
244,everything
245,stops
246,finally
247,put
248,love
249,top
250,baby
251,'cause
252,one
253,love
254,baby
255,one
256,need
257,one
258,see
259,baby
260,baby
261,one
262,gives
263,one
264,always
265,calls
266,need
267,everything
268,stops
269,finally
270,put
271,love
272,top
