,The Word_The Beatles
0,say
1,word
2,free
3,say
4,word
5,like
6,say
7,word
8,i'm
9,thinking
10,heard
11,word
12,love
13,fine
14,sunshine
15,word
16,love
17,beginning
18,misunderstood
19,i've
20,got
21,word
22,good
23,spread
24,word
25,free
26,spread
27,word
28,like
29,spread
30,word
31,i'm
32,thinking
33,heard
34,word
35,love
36,fine
37,sunshine
38,word
39,love
40,everywhere
41,go
42,hear
43,said
44,good
45,bad
46,books
47,read
48,say
49,word
50,free
51,say
52,word
53,like
54,say
55,word
56,i'm
57,thinking
58,heard
59,word
60,love
61,fine
62,sunshine
63,word
64,love
65,know
66,feel
67,must
68,right
69,i'm
70,show
71,everybody
72,light
73,give
74,word
75,chance
76,say
77,word
78,way
79,word
80,i'm
81,thinking
82,word
83,love
84,fine
85,sunshine
86,word
87,love
88,say
89,word
90,love
91,say
92,word
93,love
94,say
95,word
96,love
97,say
98,word
99,love
