,Energy_Drake
0,produced
1,boi1da
2,ob
3,o'brien
4,dj
5,jah
6,walton
7,drake
8,lickwood
9,means
10,rewind
11,gunshot
12,means
13,forward
14,requested
15,rewind
16,yeah
17,way
18,way
19,way
20,turn
21,yeah
22,look
23,got
24,enemies
25,got
26,lot
27,enemies
28,got
29,lot
30,people
31,tryna
32,drain
33,energy
34,tryna
35,take
36,wave
37,nigga
38,fuckin'
39,kid
40,pray
41,nigga
42,drake
43,got
44,girls
45,real
46,life
47,tryna
48,fuck
49,day
50,fuck
51,goin'
52,online
53,ain't
54,part
55,day
56,got
57,real
58,shit
59,poppin'
60,family
61,got
62,niggas
63,never
64,leave
65,canada
66,got
67,two
68,mortgages
69,thirty
70,million
71,total
72,got
73,niggas
74,still
75,try
76,fuckin'
77,got
78,rap
79,niggas
80,gotta
81,act
82,like
83,like
84,actin'
85,days
86,fuck
87,niggas
88,life
89,yeah
90,got
91,enemies
92,got
93,lot
94,enemies
95,got
96,lot
97,people
98,tryna
99,drain
100,energy
101,tryna
102,take
103,wave
104,nigga
105,fuckin'
106,kid
107,pray
108,nigga
109,drake
110,got
111,people
112,talkin'
113,man
114,like
115,give
116,fuck
117,bought
118,one
119,purse
120,bought
121,one
122,truck
123,bought
124,one
125,house
126,bought
127,one
128,mall
129,keep
130,buyin'
131,shit
132,make
133,sure
134,keep
135,track
136,got
137,bitches
138,askin'
139,code
140,wifi
141,talk
142,timeline
143,show
144,pictures
145,friends
146,tell
147,ain't
148,really
149,friends
150,exgirl
151,female
152,version
153,got
154,strippers
155,life
156,virgins
157,hear
158,everybody
159,talkin'
160,'bout
161,gon'
162,got
163,high
164,hopes
165,niggas
166,gon'
167,see
168,got
169,money
170,courts
171,'til
172,niggas
173,free
174,'bout
175,call
176,ass
177,uber
178,got
179,somewhere
180,hear
181,fairy
182,tales
183,'bout
184,gon'
185,run
186,well
187,run
188,see
189,gon'
190,see
191,got
192,enemies
193,got
194,lot
195,enemies
196,got
197,lot
198,people
199,tryna
200,drain
201,energy
202,tryna
203,take
204,wave
205,nigga
206,fuckin'
207,kid
208,pray
209,nigga
210,drake
211,nah
212,fuck
213,niggas
214,ain't
215,finished
216,y'all
217,wanna
218,hear
219,say
220,go
221,y'all
222,wanna
223,see
224,win
225,win
226,whoa
227,got
228,real
229,ones
230,livin'
231,past
232,kennedy
233,road
234,got
235,real
236,ones
237,wit'
238,everywhere
239,go
240,i'm
241,tryna
242,tell
243,ya
244,got
245,enemies
246,got
247,lot
248,enemies
249,every
250,time
251,see
252,'em
253,somethin'
254,wrong
255,memory
256,tryna
257,take
258,wave
259,nigga
260,tired
261,savin'
262,niggas
263,mayne
264,yeah
265,run
266,'em
267,got
268,enemies
269,got
270,lot
271,enemies
272,got
273,lot
274,people
275,tryna
276,drain
277,energy
278,tryna
279,take
280,wave
281,nigga
282,fuckin'
283,kid
284,pray
285,nigga
286,i'm
