,Daydreamer_Adele
0,daydreamer
1,sitting
2,sea
3,soaking
4,sun
5,real
6,lover
7,making
8,past
9,feeling
10,girl
11,like
12,he's
13,never
14,felt
15,figure
16,jaw
17,dropper
18,looks
19,good
20,walks
21,subject
22,talk
23,would
24,hard
25,chase
26,good
27,catch
28,could
29,change
30,world
31,hands
32,behind
33,back
34,oh
35,find
36,sitting
37,doorstep
38,waiting
39,surprise
40,feel
41,like
42,he's
43,hours
44,tell
45,he'll
46,life
47,daydreamer
48,eyes
49,make
50,melt
51,lends
52,coat
53,shelter
54,plus
55,he's
56,stays
57,waits
58,sees
59,there's
60,way
61,could
62,describe
63,i've
64,said
65,i'm
66,hoping
67,find
68,sitting
69,doorstep
70,waiting
71,surprise
72,feel
73,like
74,he's
75,hours
76,tell
77,he'll
78,life
79,tell
80,he'll
81,life
