,One Sweet Day_Mariah Carey
0,boyz
1,ii
2,men
3,sorry
4,never
5,told
6,wanted
7,say
8,late
9,hold
10,'cause
11,flown
12,away
13,far
14,away
15,mariah
16,carey
17,never
18,imagined
19,living
20,without
21,smile
22,feeling
23,knowing
24,hear
25,keeps
26,alive
27,alive
28,mariah
29,carey
30,know
31,shining
32,heaven
33,like
34,many
35,friends
36,we've
37,lost
38,along
39,way
40,know
41,eventually
42,we'll
43,together
44,together
45,one
46,sweet
47,day
48,i'll
49,wait
50,patiently
51,see
52,heaven
53,boyz
54,ii
55,men
56,mariah
57,carey
58,darling
59,never
60,showed
61,assumed
62,always
63,always
64,thought
65,always
66,took
67,presence
68,granted
69,always
70,cared
71,always
72,cared
73,miss
74,love
75,shared
76,yeah
77,know
78,mariah
79,carey
80,know
81,shining
82,heaven
83,like
84,many
85,friends
86,we've
87,lost
88,along
89,way
90,lost
91,along
92,way
93,know
94,eventually
95,we'll
96,together
97,oh
98,know
99,one
100,sweet
101,day
102,i'll
103,wait
104,patiently
105,see
106,heaven
107,mariah
108,carey
109,boyz
110,ii
111,men
112,although
113,sun
114,never
115,shine
116,i'll
117,always
118,look
119,brighter
120,day
121,yeah
122,yeah
123,lord
124,know
125,lay
126,sleep
127,always
128,listen
129,pray
130,know
131,shining
132,heaven
133,like
134,many
135,friends
136,we've
137,lost
138,along
139,way
140,know
141,eventually
142,we'll
143,together
144,one
145,sweet
146,day
147,one
148,sweet
149,day
150,know
151,shining
152,heaven
153,like
154,many
155,friends
156,we've
157,lost
158,along
159,way
160,know
161,eventually
162,we'll
163,together
164,yes
165,one
166,sweet
167,day
168,one
169,sweet
170,day
171,mariah
172,carey
173,boyz
174,ii
175,men
176,sorry
177,never
178,told
179,wanted
180,say
