,The Magic Position_Patrick Wolf
0,let
1,people
2,talk
3,monday
4,morning
5,walk
6,right
7,past
8,fabulous
9,mess
10,we're
11,gonna
12,beautiful
13,day
14,bluebirds
15,sing
16,take
17,hand
18,take
19,kiss
20,take
21,world
22,'cause
23,people
24,i've
25,known
26,places
27,i've
28,songs
29,sung
30,wonders
31,i've
32,seen
33,dreams
34,coming
35,true
36,one
37,leads
38,puts
39,magic
40,position
41,darling
42,put
43,magic
44,position
45,live
46,learn
47,love
48,major
49,key
50,know
51,hurt
52,dragged
53,dirt
54,c'mon
55,get
56,back
57,time
58,live
59,give
60,love
61,i'm
62,gonna
63,keep
64,carefully
65,deep
66,treasure
67,chest
68,breast
69,'cause
70,people
71,i've
72,known
73,places
74,i've
75,songs
76,sung
77,wonders
78,i've
79,seen
80,dreams
81,coming
82,true
83,one
84,leads
85,puts
86,magic
87,position
88,darling
89,put
90,magic
91,position
92,darling
93,let
94,put
95,magic
96,position
97,darling
98,'cause
99,i'm
100,singing
101,major
102,key
103,let
104,put
105,major
106,key
