,Father Figure_George Michael
0,that's
1,wanted
2,something
3,special
4,someone
5,sacred
6,eyes
7,one
8,moment
9,bold
10,naked
11,side
12,sometimes
13,think
14,never
15,understand
16,maybe
17,time
18,forever
19,say
20,whoa
21,that's
22,wanted
23,somethin'
24,special
25,someone
26,sacred
27,life
28,one
29,moment
30,warm
31,naked
32,side
33,sometimes
34,think
35,never
36,understand
37,somethin'
38,tells
39,together
40,we'd
41,happy
42,whoa
43,baby
44,father
45,figure
46,put
47,tiny
48,hand
49,mine
50,preacher
51,teacher
52,anything
53,mind
54,father
55,figure
56,enough
57,crime
58,one
59,loves
60,'til
61,end
62,time
63,that's
64,wanted
65,sometimes
66,love
67,mistaken
68,crime
69,that's
70,wanted
71,see
72,baby's
73,blue
74,eyes
75,shine
76,time
77,think
78,lover
79,understands
80,faith
81,strong
82,desert
83,i'll
84,sea
85,ever
86,hunger
87,hunger
88,whatever
89,ask
90,that's
91,i'll
92,remember
93,ones
94,lied
95,said
96,cared
97,laughed
98,cried
99,beautiful
100,darling
101,think
102,ever
103,wanted
104,eyes
105,baby
106,baby
107,love
108,can't
109,lie
110,greet
111,eyes
112,child
113,love
114,always
115,tellin'
116,heaven
117,kiss
118,smile
119,hold
120,hold
121,let
122,go
123,baby
124,father
125,father
126,preacher
127,teacher
128,i'll
129,daddy
130,oh
131,one
132,loves
133,'til
134,end
135,time
