,Thank You_Dido
0,tea's
1,gone
2,cold
3,i'm
4,wondering
5,got
6,bed
7,morning
8,rain
9,clouds
10,window
11,can't
12,see
13,even
14,could
15,it'd
16,grey
17,picture
18,wall
19,reminds
20,bad
21,bad
22,drank
23,much
24,last
25,night
26,got
27,bills
28,pay
29,head
30,feels
31,pain
32,missed
33,bus
34,there'll
35,hell
36,today
37,i'm
38,late
39,work
40,even
41,i'm
42,they'll
43,imply
44,might
45,last
46,day
47,call
48,bad
49,bad
50,want
51,thank
52,giving
53,best
54,day
55,life
56,oh
57,best
58,day
59,life
60,push
61,door
62,i'm
63,home
64,last
65,i'm
66,soaking
67,handed
68,towel
69,see
70,even
71,house
72,falls
73,clue
74,near
75,want
76,thank
77,giving
78,best
79,day
80,life
81,oh
82,best
83,day
84,life
85,want
86,thank
87,giving
88,best
89,day
90,life
91,oh
92,best
93,day
94,life
