,Sorry Seems to Be the Hardest Word_Elton John
0,gotta
1,make
2,love
3,gotta
4,make
5,care
6,lightning
7,strikes
8,wake
9,find
10,make
11,want
12,gotta
13,heard
14,say
15,sorry
16,seems
17,hardest
18,word
19,sad
20,sad
21,sad
22,sad
23,sad
24,situation
25,getting
26,absurd
27,sad
28,sad
29,sad
30,can't
31,talk
32,oh
33,seems
34,sorry
35,seems
36,hardest
37,word
38,sad
39,sad
40,sad
41,sad
42,sad
43,situation
44,getting
45,absurd
46,sad
47,sad
48,sad
49,can't
50,talk
51,oh
52,seems
53,sorry
54,seems
55,hardest
56,word
57,make
58,love
59,oh
60,gotta
61,heard
62,lightning
63,strikes
64,gotta
65,gotta
66,ooh
67,sorry
68,seems
69,hardest
70,word
