,Parachute_Cheryl Cole
0,tell
1,anyone
2,way
3,hold
4,hand
5,tell
6,anyone
7,things
8,planned
9,tell
10,anybody
11,tell
12,anybody
13,wanna
14,push
15,wanna
16,see
17,fall
18,tell
19,anybody
20,turn
21,world
22,around
23,tell
24,anyone
25,voice
26,favourite
27,sound
28,tell
29,anybody
30,tell
31,anybody
32,wanna
33,see
34,us
35,fall
36,wanna
37,see
38,us
39,fall
40,need
41,parachute
42,baby
43,i've
44,got
45,baby
46,i've
47,got
48,need
49,parachute
50,gonna
51,catch
52,gonna
53,catch
54,fall
55,need
56,parachute
57,baby
58,i've
59,got
60,baby
61,i've
62,got
63,need
64,parachute
65,gonna
66,catch
67,gonna
68,catch
69,fall
70,believe
71,things
72,tell
73,late
74,night
75,worst
76,enemy
77,never
78,win
79,fight
80,hold
81,i'll
82,hold
83,world
84,need
85,parachute
86,baby
87,i've
88,got
89,baby
90,i've
91,got
92,need
93,parachute
94,gonna
95,catch
96,gonna
97,catch
98,fall
99,need
100,parachute
101,baby
102,i've
103,got
104,baby
105,i've
106,got
107,need
108,parachute
109,gonna
110,catch
111,gonna
112,catch
113,fall
114,fall
115,love
116,fall
117,fall
118,love
119,fall
120,fall
121,love
122,fall
123,fall
124,love
125,i'll
126,fall
127,fall
128,love
129,fall
130,fall
131,love
132,fall
133,fall
134,love
135,fall
136,fall
137,love
138,i'll
139,fall
140,need
141,parachute
142,baby
143,i've
144,got
145,baby
146,i've
147,got
148,need
149,parachute
150,gonna
151,catch
152,gonna
153,catch
154,fall
155,need
156,parachute
157,baby
158,i've
159,got
160,baby
161,i've
162,got
163,need
164,parachute
165,gonna
166,catch
167,gonna
168,catch
169,fall
