,Only Love_Ben Howard
0,darling
1,always
2,around
3,love
4,love
5,darling
6,feel
7,body
8,love
9,love
10,give
11,shelter
12,show
13,heart
14,come
15,love
16,come
17,love
18,watch
19,fall
20,apart
21,watch
22,fall
23,apart
24,refrain
25,i'll
26,keep
27,wind
28,shadow
29,whale
30,song
31,deep
32,wind
33,shadow
34,whale
35,song
36,deep
37,darling
38,always
39,around
40,love
41,oh
42,love
43,darling
44,feel
45,body
46,love
47,ah
48,love
49,give
50,shelter
51,show
52,heart
53,come
54,love
55,come
56,love
57,watch
58,fall
59,apart
60,watch
61,fall
62,apart
63,mm
64,refrain
65,i'll
66,keep
67,wind
68,shadow
69,whale
70,song
71,deep
72,wind
73,shadow
74,whale
75,song
76,darling
77,always
78,around
79,love
80,oh
81,love
82,darling
83,feel
84,body
85,love
86,ah
87,love
88,give
89,shelter
90,show
91,heart
92,come
93,love
94,come
95,love
96,watch
97,fall
98,apart
99,watch
100,fall
101,apart
102,watch
103,fall
104,apart
105,watch
106,fall
107,apart
108,watch
109,fall
110,apart
111,love
112,love
113,love
114,love
115,love
116,love
117,love
118,love
119,love
120,girl
121,show
122,heart
123,come
124,love
125,love
126,love
127,come
128,love
129,love
130,love
131,come
132,love
133,love
134,love
135,watch
136,fall
137,apart
138,come
139,love
140,love
141,love
142,come
143,love
144,love
145,love
146,come
147,love
148,love
149,love
150,girl
151,show
152,heart
153,show
154,love
155,love
156,love
157,show
158,love
159,love
160,love
161,show
162,love
163,love
164,love
165,watch
166,fall
167,apart
168,instrumental
169,darling
170,feel
171,body
172,darling
173,forever
174,always
175,give
176,shelter
177,show
178,heart
179,watch
180,fall
181,apart
182,watch
183,fall
184,apart
