,Are You Gonna Kiss Me or Not_Thompson Square
0,keifer
1,sitting
2,momma's
3,roof
4,talking
5,'bout
6,everything
7,moon
8,smell
9,honeysuckle
10,perfume
11,could
12,think
13,next
14,move
15,keifer
16,oh
17,shy
18,maybe
19,that's
20,hard
21,believe
22,smiled
23,said
24,keifer
25,shawna
26,gonna
27,kiss
28,gonna
29,think
30,know
31,like
32,lot
33,miss
34,shot
35,gonna
36,kiss
37,keifer
38,best
39,dang
40,kiss
41,ever
42,except
43,long
44,one
45,knew
46,wanted
47,thing
48,last
49,sooner
50,later
51,i'd
52,ask
53,hand
54,keifer
55,took
56,chance
57,bought
58,wedding
59,band
60,got
61,one
62,knee
63,smiled
64,said
65,keifer
66,shawna
67,gonna
68,kiss
69,gonna
70,think
71,know
72,love
73,lot
74,think
75,we've
76,got
77,real
78,good
79,shot
80,gonna
81,kiss
82,keifer
83,shawna
84,planned
85,middle
86,june
87,wedding
88,cake
89,honeymoon
90,keifer
91,momma
92,cried
93,walked
94,aisle
95,keifer
96,shawna
97,preacher
98,man
99,said
100,say
101,keifer
102,lifted
103,veil
104,saw
105,pretty
106,smile
107,said
108,gonna
109,kiss
110,keifer
111,shawna
112,gonna
113,look
114,love
115,got
116,ain't
117,never
118,gonna
119,stop
120,gonna
121,kiss
122,tag
123,keifer
124,yeah
125,baby
126,love
127,lot
128,keifer
129,shawna
130,really
131,think
132,we've
133,got
134,shot
135,keifer
136,gonna
137,kiss
