,Sad Songs And Waltzes_Cake
0,i'm
1,writing
2,song
3,true
4,song
5,real
6,tears
7,need
8,fear
9,'cause
10,one
11,hear
12,sad
13,songs
14,waltzes
15,selling
16,year
17,i'll
18,tell
19,cheated
20,i'd
21,like
22,whole
23,world
24,hear
25,i'd
26,like
27,get
28,even
29,'cause
30,leavin'
31,sad
32,songs
33,waltzes
34,selling
35,year
36,good
37,thing
38,i'm
39,star
40,know
41,lucky
42,though
43,record
44,may
45,say
46,one
47,play
48,sad
49,songs
50,waltzes
51,selling
52,year
53,good
54,thing
55,i'm
56,star
57,know
58,lucky
59,though
60,record
61,may
62,say
63,one
64,play
65,sad
66,songs
67,waltzes
68,selling
69,year
