,Cool Girl_Tove Lo
0,run
1,free
2,hold
3,ya
4,thing
5,never
6,wanted
7,future
8,fuck
9,knew
10,put
11,romantic
12,speaking
13,truth
14,there's
15,need
16,panic
17,prechorus
18,let's
19,put
20,label
21,let's
22,keep
23,fun
24,put
25,label
26,run
27,free
28,yeah
29,wanna
30,free
31,like
32,i'm
33,i'm
34,i'm
35,cool
36,girl
37,i'm
38,i'm
39,cool
40,girl
41,ice
42,cold
43,roll
44,eyes
45,boy
46,i'm
47,cool
48,girl
49,i'm
50,i'm
51,cool
52,girl
53,ice
54,cold
55,roll
56,eyes
57,boy
58,rules
59,like
60,still
61,wanna
62,keep
63,'em
64,said
65,fine
66,whatever
67,reason
68,sure
69,chill
70,try
71,keep
72,platonic
73,can't
74,tell
75,i'm
76,really
77,ironic
78,prechorus
79,let's
80,put
81,label
82,let's
83,keep
84,fun
85,put
86,label
87,run
88,free
89,yeah
90,wanna
91,free
92,like
93,i'm
94,i'm
95,i'm
96,cool
97,girl
98,i'm
99,i'm
100,cool
101,girl
102,ice
103,cold
104,roll
105,eyes
106,boy
107,i'm
108,cool
109,girl
110,i'm
111,i'm
112,cool
113,girl
114,ice
115,cold
116,roll
117,eyes
118,boy
119,i'm
120,cool
121,girl
122,i'm
123,i'm
124,cool
125,girl
126,ice
127,cold
128,roll
129,eyes
130,boy
131,i'm
132,cool
133,girl
134,i'm
135,i'm
136,cool
137,girl
138,ice
139,cold
140,roll
141,eyes
142,boy
143,got
144,fever
145,highs
146,got
147,boiling
148,blood
149,i'm
150,fire
151,kind
152,could
153,burn
154,together
155,i'm
156,i'm
157,cool
158,girl
159,i'm
160,i'm
161,cool
162,girl
163,ice
164,cold
165,roll
166,eyes
167,boy
168,i'm
169,cool
170,girl
171,i'm
172,i'm
173,cool
174,girl
175,ice
176,cold
177,roll
178,eyes
179,boy
180,i'm
181,cool
182,girl
183,i'm
184,i'm
185,cool
186,girl
187,cool
188,i'm
189,cool
190,girl
191,i'm
192,i'm
193,i'm
194,i'm
195,i'm
196,i'm
197,cool
198,girl
199,i'm
200,i'm
201,cool
202,girl
203,ice
204,cold
205,roll
206,eyes
207,boy
