,Shelter_Ray LaMontagne
0,guess
1,need
2,guess
3,want
4,repeat
5,everything
6,give
7,i'll
8,give
9,like
10,planned
11,tried
12,stay
13,could
14,stand
15,see
16,shut
17,slow
18,though
19,easy
20,thing
21,listen
22,around
23,us
24,fall
25,tell
26,we're
27,gonna
28,hey
29,shelter
30,love
31,shelter
32,shelter
33,left
34,heartbroken
35,words
36,spoken
37,anybody
38,ever
39,made
40,fool
41,outta
42,hard
43,believe
44,even
45,eyes
46,see
47,things
48,make
49,live
50,they're
51,killing
52,listen
53,around
54,us
55,fall
56,tell
57,we're
58,gonna
59,hey
60,shelter
61,love
62,shelter
63,shelter
64,shelter
65,shelter
66,shelter
67,listen
68,around
69,us
70,fall
71,tell
72,we're
73,gonna
74,hey
75,shelter
76,love
77,shelter
78,shelter
79,shelter
80,shelter
