,Back to You_John Mayer
0,back
1,always
2,comes
3,around
4,back
5,tried
6,forget
7,tried
8,stay
9,away
10,late
11,i'm
12,never
13,something
14,way
15,move
16,way
17,move
18,yeah
19,i'm
20,good
21,forgetting
22,quit
23,every
24,game
25,play
26,forgive
27,love
28,can't
29,turn
30,walk
31,away
32,way
33,back
34,always
35,comes
36,around
37,back
38,walk
39,shadow
40,i'm
41,sleeping
42,bed
43,silhouette
44,yeah
45,smiled
46,picture
47,last
48,i'll
49,see
50,least
51,could
52,leave
53,light
54,i'll
55,never
56,give
57,leave
58,light
59,yeah
60,back
61,know
62,comes
63,back
64,scare
65,strong
66,used
