,Sail Away_David Gray
0,sail
1,away
2,honey
3,put
4,heart
5,hands
6,sail
7,away
8,honey
9,sail
10,away
11,wanna
12,hold
13,crazy
14,skies
15,wild
16,winter
17,howling
18,face
19,everything
20,held
21,dear
22,disappeared
23,without
24,trace
25,oh
26,times
27,i've
28,tasted
29,love
30,never
31,knew
32,quite
33,little
34,darling
35,hear
36,never
37,needed
38,bad
39,spinning
40,round
41,inside
42,head
43,sail
44,away
45,honey
46,put
47,heart
48,hands
49,sail
50,away
51,honey
52,sail
53,away
54,wanna
55,hold
56,i've
57,talking
58,drunken
59,gibberish
60,falling
61,bars
62,trying
63,find
64,explanation
65,way
66,people
67,ever
68,come
69,far
70,sail
71,away
72,honey
73,put
74,heart
75,hands
76,sail
77,away
78,honey
79,sail
80,away
81,wanna
82,hold
83,sail
84,away
85,honey
86,put
87,heart
88,hands
89,sail
90,away
91,honey
92,sail
93,away
94,wanna
95,hold
