,Will You Be There_Michael Jackson
0,hold
1,like
2,river
3,jordan
4,say
5,thee
6,friend
7,carry
8,like
9,brother
10,love
11,like
12,mother
13,weary
14,tell
15,hold
16,wrong
17,scold
18,lost
19,find
20,told
21,man
22,faithful
23,walk
24,able
25,fight
26,till
27,end
28,i'm
29,human
30,everyone's
31,taking
32,control
33,seems
34,world's
35,got
36,role
37,i'm
38,confused
39,show
40,care
41,enough
42,bear
43,michael
44,jackson
45,cleveland
46,orchestra
47,hold
48,show
49,lay
50,head
51,lowly
52,told
53,softly
54,boldly
55,yeah
56,carry
57,i'm
58,human
59,lead
60,hold
61,love
62,feed
63,yeah
64,yeah
65,kiss
66,free
67,yeah
68,feel
69,blessed
70,i'm
71,human
72,carry
73,carry
74,carry
75,boldly
76,carry
77,lift
78,slowly
79,yeah
80,carry
81,i'm
82,human
83,save
84,lift
85,heal
86,bathe
87,lift
88,lift
89,softly
90,say
91,lift
92,lift
93,slowly
94,carry
95,boldly
96,yeah
97,show
98,care
99,hold
100,woo
101,lay
102,head
103,lowly
104,gets
105,lonely
106,sometimes
107,get
108,lonely
109,yeah
110,yeah
111,softly
112,boldly
113,carry
114,need
115,woo
116,love
117,feed
118,lift
119,hold
120,lift
121,sometimes
122,sometimes
123,kiss
124,free
125,feel
126,blessed
127,spoken
128,darkest
129,hour
130,deepest
131,despair
132,still
133,care
134,trials
135,tribulations
136,doubts
137,frustrations
138,violence
139,turbulence
140,fear
141,confessions
142,anguish
143,pain
144,joy
145,sorrow
146,promise
147,another
148,tomorrow
149,i'll
150,never
151,let
152,part
153,always
154,heart
