,Hotline Bling_Drake
0,used
1,call
2,used
3,used
4,yeah
5,used
6,call
7,cell
8,phone
9,late
10,night
11,need
12,love
13,call
14,cell
15,phone
16,late
17,night
18,need
19,love
20,know
21,hotline
22,bling
23,mean
24,one
25,thing
26,know
27,hotline
28,bling
29,mean
30,one
31,thing
32,ever
33,since
34,left
35,city
36,got
37,reputation
38,everybody
39,knows
40,feel
41,left
42,girl
43,got
44,got
45,stressed
46,‘cause
47,ever
48,since
49,left
50,city
51,started
52,wearing
53,less
54,goin'
55,glasses
56,champagne
57,dance
58,floor
59,hangin'
60,girls
61,i've
62,never
63,seen
64,used
65,call
66,cell
67,phone
68,late
69,night
70,need
71,love
72,call
73,cell
74,phone
75,late
76,night
77,need
78,love
79,know
80,hotline
81,bling
82,mean
83,one
84,thing
85,know
86,hotline
87,bling
88,mean
89,one
90,thing
91,ever
92,since
93,left
94,city
95,get
96,along
97,make
98,feel
99,like
100,wrong
101,going
102,places
103,belong
104,ever
105,since
106,left
107,city
108,got
109,exactly
110,asked
111,running
112,pages
113,passport
114,hangin'
115,girls
116,i've
117,never
118,seen
119,used
120,call
121,cell
122,phone
123,late
124,night
125,need
126,love
127,call
128,cell
129,phone
130,late
131,night
132,need
133,love
134,know
135,hotline
136,bling
137,mean
138,one
139,thing
140,know
141,hotline
142,bling
143,mean
144,one
145,thing
146,days
147,wonder
148,bendin'
149,backwards
150,someone
151,else
152,wonder
153,rolling
154,backwoods
155,someone
156,else
157,things
158,taught
159,gettin'
160,nasty
161,someone
162,else
163,need
164,one
165,else
166,need
167,nobody
168,else
169,never
170,alone
171,always
172,touching
173,road
174,used
175,always
176,stay
177,home
178,good
179,girl
180,zone
181,yeah
182,right
183,someone
184,else
185,used
186,call
187,cell
188,phone
189,late
190,night
191,need
192,love
193,call
194,cell
195,phone
196,late
197,night
198,need
199,love
200,know
201,hotline
202,bling
203,mean
204,one
205,thing
206,know
207,hotline
208,bling
209,mean
210,one
211,thing
212,ever
213,since
214,left
215,city…
216,produced
217,nineteen85
