,Death on the Stairs_The Libertines
0,way
1,far
2,across
3,sea
4,came
5,eritrean
6,maiden
7,onetrack
8,mind
9,eyes
10,half
11,blinded
12,war
13,pale
14,young
15,anglican
16,said
17,he'd
18,help
19,showed
20,jesus
21,little
22,unholy
23,friend
24,mind
25,please
26,say
27,'tara'
28,leave
29,behind
30,little
31,boy
32,stairwell
33,says
34,'i
35,hate
36,people
37,like
38,you'
39,got
40,matchsticks
41,cable
42,tv
43,half
44,less
45,50p
46,clambered
47,balcony
48,banging
49,window
50,waking
51,steve
52,bringing
53,true
54,love
55,unholy
56,friend
57,singing
58,'if
59,really
60,need
61,leave
62,behind'
63,baby
64,please
65,kill
66,oh
67,baby
68,kill
69,bring
70,ghost
71,'round
72,door
73,want
74,see
75,anymore
76,please
77,kill
78,oh
79,baby
80,kill
81,bang
82,yesterday
83,know
84,know
85,anyway
86,monkey
87,asked
88,mouse
89,loved
90,anybody
91,turns
92,stone
93,i'm
94,reversing
95,lonely
96,street
97,cheap
98,hotel
99,meet
100,past
101,pay
102,keep
103,sweet
104,aw
105,sweet
106,nothing
107,like
108,nothing
109,know
110,i've
111,seen
112,could
113,help
114,stare
115,rips
116,heart
117,baby
118,i've
119,taken
120,far
121,much
122,see
123,think
124,touch
125,what's
126,real
127,stranded
128,street
129,paved
130,way
131,home
132,really
133,need
134,leave
135,behind
136,oh
137,please
138,kill
139,oh
140,kill
141,bring
142,ghost
143,'round
144,door
145,want
146,see
147,anymore
148,please
149,kill
150,oh
151,kill
152,try
153,joke
154,yesterday
155,know
156,know
157,anyway
158,instrumental
159,break
160,sweet
161,like
162,nothing
163,sweet
164,like
165,nothing
166,sweet
167,like
168,nothing
169,sweet
170,like
171,nothing
172,sweet
173,like
174,nothing
175,sweet
176,like
177,nothing
